pegRNA_idx,total,unaligned,extracted,recombination
0,45.0,29.0,0.0,16.0
1,314.0,83.0,52.0,179.0
2,728.0,28.0,503.0,197.0
3,1302.0,30.0,906.0,366.0
4,1249.0,48.0,1178.0,23.0
5,2359.0,113.0,2068.0,178.0
6,1196.0,33.0,1141.0,22.0
7,2334.0,73.0,2096.0,165.0
8,86.0,2.0,47.0,37.0
9,181.0,3.0,1.0,177.0
10,421.0,8.0,42.0,371.0
11,711.0,18.0,522.0,171.0
12,1192.0,21.0,1124.0,47.0
13,846.0,19.0,811.0,16.0
14,3514.0,121.0,3345.0,48.0
15,6926.0,173.0,6275.0,478.0
16,228.0,14.0,214.0,0.0
17,482.0,7.0,400.0,75.0
18,661.0,14.0,267.0,380.0
19,408.0,8.0,346.0,54.0
20,0.0,0.0,0.0,0.0
21,408.0,16.0,115.0,277.0
22,13.0,0.0,0.0,13.0
23,408.0,26.0,1.0,381.0
24,46.0,1.0,3.0,42.0
25,49.0,0.0,1.0,48.0
26,68.0,0.0,1.0,67.0
27,126.0,8.0,30.0,88.0
28,54.0,2.0,6.0,46.0
29,468.0,8.0,264.0,196.0
30,480.0,4.0,124.0,352.0
31,173.0,7.0,22.0,144.0
32,416.0,19.0,57.0,340.0
33,43.0,0.0,12.0,31.0
34,619.0,26.0,551.0,42.0
35,584.0,13.0,487.0,84.0
36,664.0,33.0,479.0,152.0
37,472.0,10.0,80.0,382.0
38,456.0,8.0,21.0,427.0
39,123.0,2.0,37.0,84.0
40,288.0,8.0,107.0,173.0
41,15.0,0.0,2.0,13.0
42,3224.0,71.0,2879.0,274.0
43,2169.0,82.0,2045.0,42.0
44,1685.0,42.0,1573.0,70.0
45,22.0,1.0,6.0,15.0
46,73.0,2.0,49.0,22.0
47,232.0,4.0,45.0,183.0
48,3429.0,118.0,3169.0,142.0
49,326.0,6.0,313.0,7.0
50,2487.0,105.0,2309.0,73.0
51,535.0,18.0,358.0,159.0
52,655.0,38.0,516.0,101.0
53,672.0,18.0,612.0,42.0
54,2438.0,1883.0,169.0,386.0
55,490.0,353.0,91.0,46.0
56,3204.0,2920.0,124.0,160.0
57,477.0,248.0,202.0,27.0
58,898.0,455.0,299.0,144.0
59,641.0,473.0,94.0,74.0
60,0.0,0.0,0.0,0.0
61,58.0,5.0,49.0,4.0
62,157.0,6.0,146.0,5.0
63,1407.0,1005.0,105.0,297.0
64,648.0,202.0,357.0,89.0
65,481.0,176.0,192.0,113.0
66,7.0,0.0,1.0,6.0
67,290.0,11.0,266.0,13.0
68,3.0,1.0,0.0,2.0
69,2.0,0.0,0.0,2.0
70,1109.0,736.0,179.0,194.0
71,538.0,129.0,286.0,123.0
72,457.0,98.0,193.0,166.0
73,1.0,0.0,0.0,1.0
74,24.0,0.0,22.0,2.0
75,149.0,12.0,129.0,8.0
76,157.0,6.0,144.0,7.0
77,3.0,3.0,0.0,0.0
78,117.0,5.0,8.0,104.0
79,18.0,1.0,1.0,16.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,3.0,0.0,0.0,3.0
83,45.0,4.0,41.0,0.0
84,936.0,713.0,164.0,59.0
85,1146.0,426.0,507.0,213.0
86,1954.0,1762.0,30.0,162.0
87,1972.0,1664.0,83.0,225.0
88,570.0,300.0,190.0,80.0
89,681.0,455.0,131.0,95.0
90,0.0,0.0,0.0,0.0
91,46.0,3.0,40.0,3.0
92,117.0,1.0,112.0,4.0
93,1178.0,302.0,636.0,240.0
94,1299.0,888.0,151.0,260.0
95,9.0,0.0,0.0,9.0
96,641.0,183.0,302.0,156.0
97,1.0,0.0,0.0,1.0
