pegRNA_idx,total,unaligned,extracted,recombination
165,417.0,2.0,314.0,101.0
166,0.0,0.0,0.0,0.0
167,8.0,0.0,6.0,2.0
168,167.0,4.0,16.0,147.0
169,111.0,2.0,28.0,81.0
170,607.0,134.0,84.0,389.0
171,263.0,6.0,75.0,182.0
172,208.0,22.0,150.0,36.0
173,368.0,54.0,268.0,46.0
174,213.0,11.0,149.0,53.0
175,15606.0,309.0,14772.0,525.0
176,301.0,11.0,272.0,18.0
177,13354.0,302.0,12538.0,514.0
178,19017.0,423.0,17898.0,696.0
179,1.0,0.0,1.0,0.0
180,18094.0,338.0,16687.0,1069.0
181,11.0,0.0,2.0,9.0
182,590.0,7.0,306.0,277.0
183,85.0,4.0,2.0,79.0
184,348.0,17.0,16.0,315.0
185,216.0,3.0,22.0,191.0
186,111.0,13.0,5.0,93.0
187,133.0,0.0,24.0,109.0
188,23.0,0.0,5.0,18.0
189,1140.0,18.0,27.0,1095.0
190,7444.0,146.0,6924.0,374.0
191,1.0,0.0,0.0,1.0
192,149.0,0.0,1.0,148.0
193,169.0,25.0,7.0,137.0
194,48.0,0.0,4.0,44.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
197,6701.0,147.0,6022.0,532.0
198,8799.0,312.0,8259.0,228.0
199,42.0,1.0,1.0,40.0
200,946.0,16.0,33.0,897.0
201,225.0,5.0,46.0,174.0
202,160.0,3.0,1.0,156.0
203,31.0,5.0,0.0,26.0
204,108.0,0.0,28.0,80.0
205,16145.0,401.0,14807.0,937.0
206,9507.0,208.0,8618.0,681.0
207,20398.0,361.0,18905.0,1132.0
208,30815.0,868.0,28811.0,1136.0
209,25914.0,796.0,23550.0,1568.0
210,23451.0,721.0,21471.0,1259.0
211,6189.0,135.0,4486.0,1568.0
212,4131.0,189.0,3603.0,339.0
213,7244.0,348.0,5921.0,975.0
214,4315.0,125.0,3953.0,237.0
215,6236.0,226.0,4794.0,1216.0
216,6769.0,150.0,5631.0,988.0
217,4716.0,221.0,3559.0,936.0
218,3807.0,49.0,3157.0,601.0
219,4385.0,225.0,3731.0,429.0
220,32775.0,1338.0,30073.0,1364.0
221,42403.0,1155.0,40049.0,1199.0
222,2788.0,76.0,2624.0,88.0
223,2190.0,76.0,2055.0,59.0
224,32681.0,871.0,30962.0,848.0
225,23370.0,513.0,21938.0,919.0
226,27663.0,490.0,26516.0,657.0
227,21815.0,565.0,20452.0,798.0
228,25021.0,394.0,23669.0,958.0
229,19171.0,392.0,18265.0,514.0
230,22996.0,559.0,21713.0,724.0
231,32339.0,705.0,30044.0,1590.0
