pegRNA_idx,total,unaligned,extracted,recombination
170,17.0,1.0,14.0,2.0
171,2.0,0.0,0.0,2.0
172,14.0,0.0,10.0,4.0
173,44.0,4.0,31.0,9.0
174,65.0,3.0,58.0,4.0
175,2012.0,50.0,1916.0,46.0
176,26.0,0.0,23.0,3.0
177,163.0,3.0,151.0,9.0
178,3012.0,105.0,2771.0,136.0
179,0.0,0.0,0.0,0.0
180,4146.0,59.0,3984.0,103.0
181,0.0,0.0,0.0,0.0
182,807.0,7.0,25.0,775.0
183,2.0,0.0,1.0,1.0
184,401.0,4.0,16.0,381.0
185,60.0,2.0,44.0,14.0
186,5.0,3.0,2.0,0.0
187,1.0,0.0,1.0,0.0
188,0.0,0.0,0.0,0.0
189,50.0,2.0,39.0,9.0
190,1437.0,7.0,1314.0,116.0
191,0.0,0.0,0.0,0.0
192,20.0,3.0,16.0,1.0
193,17.0,0.0,16.0,1.0
194,2.0,0.0,2.0,0.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
197,717.0,9.0,698.0,10.0
198,2573.0,30.0,2477.0,66.0
199,1.0,0.0,0.0,1.0
200,13.0,2.0,10.0,1.0
201,40.0,1.0,3.0,36.0
202,9.0,1.0,0.0,8.0
203,17.0,0.0,1.0,16.0
204,115.0,5.0,94.0,16.0
205,3129.0,279.0,2765.0,85.0
206,1769.0,95.0,1620.0,54.0
207,13040.0,415.0,8751.0,3874.0
208,13874.0,2210.0,11189.0,475.0
209,12677.0,166.0,12031.0,480.0
210,2665.0,105.0,1919.0,641.0
211,3749.0,198.0,3261.0,290.0
212,1512.0,163.0,1217.0,132.0
213,1979.0,37.0,1069.0,873.0
214,381.0,17.0,299.0,65.0
215,3743.0,161.0,2259.0,1323.0
216,2663.0,55.0,2348.0,260.0
217,640.0,21.0,551.0,68.0
218,1088.0,73.0,943.0,72.0
219,1258.0,27.0,1124.0,107.0
220,8996.0,202.0,8264.0,530.0
221,15249.0,507.0,13791.0,951.0
222,162.0,23.0,136.0,3.0
223,700.0,11.0,671.0,18.0
224,14273.0,209.0,13442.0,622.0
225,9607.0,142.0,9207.0,258.0
226,9282.0,124.0,8840.0,318.0
227,6069.0,426.0,5432.0,211.0
228,17075.0,226.0,16146.0,703.0
229,14608.0,229.0,13868.0,511.0
230,11498.0,201.0,10583.0,714.0
