pegRNA_idx,total,unaligned,extracted,recombination
0,54.0,1.0,0.0,53.0
1,346.0,62.0,10.0,274.0
2,1929.0,34.0,1443.0,452.0
3,3581.0,140.0,2879.0,562.0
4,1667.0,34.0,1601.0,32.0
5,4779.0,158.0,4090.0,531.0
6,1995.0,57.0,1878.0,60.0
7,4817.0,164.0,4067.0,586.0
8,172.0,10.0,102.0,60.0
9,120.0,7.0,1.0,112.0
10,635.0,20.0,18.0,597.0
11,2055.0,46.0,1765.0,244.0
12,2201.0,53.0,2100.0,48.0
13,1389.0,32.0,1333.0,24.0
14,7139.0,158.0,6864.0,117.0
15,12127.0,317.0,11102.0,708.0
16,350.0,10.0,332.0,8.0
17,697.0,21.0,571.0,105.0
18,1685.0,130.0,685.0,870.0
19,746.0,13.0,588.0,145.0
20,0.0,0.0,0.0,0.0
21,599.0,21.0,124.0,454.0
22,18.0,1.0,3.0,14.0
23,616.0,7.0,12.0,597.0
24,56.0,1.0,2.0,53.0
25,140.0,17.0,13.0,110.0
26,125.0,15.0,22.0,88.0
27,107.0,25.0,16.0,66.0
28,36.0,0.0,0.0,36.0
29,843.0,16.0,313.0,514.0
30,1066.0,28.0,278.0,760.0
31,185.0,4.0,74.0,107.0
32,555.0,32.0,110.0,413.0
33,95.0,14.0,26.0,55.0
34,1354.0,41.0,1238.0,75.0
35,1921.0,73.0,1640.0,208.0
36,2302.0,113.0,1775.0,414.0
37,841.0,16.0,249.0,576.0
38,783.0,10.0,49.0,724.0
39,137.0,3.0,69.0,65.0
40,849.0,9.0,296.0,544.0
41,76.0,1.0,4.0,71.0
42,12262.0,471.0,10987.0,804.0
43,7378.0,208.0,6970.0,200.0
44,4483.0,108.0,4241.0,134.0
45,19.0,0.0,6.0,13.0
46,241.0,27.0,95.0,119.0
47,374.0,9.0,195.0,170.0
48,15357.0,524.0,14344.0,489.0
49,794.0,51.0,726.0,17.0
50,7886.0,329.0,7352.0,205.0
51,1737.0,67.0,1441.0,229.0
52,2024.0,54.0,1595.0,375.0
53,1610.0,81.0,1373.0,156.0
54,6249.0,5225.0,368.0,656.0
55,1647.0,1349.0,215.0,83.0
56,9647.0,8960.0,269.0,418.0
57,1365.0,845.0,379.0,141.0
58,2583.0,1347.0,810.0,426.0
59,1837.0,1490.0,201.0,146.0
60,4.0,0.0,2.0,2.0
61,375.0,28.0,340.0,7.0
62,918.0,28.0,852.0,38.0
63,3714.0,2576.0,333.0,805.0
64,1655.0,647.0,727.0,281.0
65,1581.0,631.0,550.0,400.0
66,15.0,2.0,0.0,13.0
67,2240.0,99.0,2083.0,58.0
68,2.0,0.0,0.0,2.0
69,0.0,0.0,0.0,0.0
70,3045.0,1764.0,480.0,801.0
71,1620.0,469.0,863.0,288.0
72,1229.0,327.0,549.0,353.0
73,1.0,0.0,1.0,0.0
74,117.0,2.0,110.0,5.0
75,887.0,38.0,807.0,42.0
76,947.0,31.0,855.0,61.0
77,8.0,0.0,0.0,8.0
78,100.0,2.0,8.0,90.0
79,33.0,3.0,1.0,29.0
80,4.0,0.0,1.0,3.0
81,0.0,0.0,0.0,0.0
82,14.0,1.0,4.0,9.0
83,296.0,20.0,269.0,7.0
84,2792.0,2222.0,388.0,182.0
85,2374.0,1320.0,777.0,277.0
86,5367.0,5005.0,87.0,275.0
87,5769.0,4690.0,422.0,657.0
88,1708.0,881.0,427.0,400.0
89,1999.0,1492.0,253.0,254.0
90,0.0,0.0,0.0,0.0
91,312.0,30.0,272.0,10.0
92,726.0,45.0,661.0,20.0
93,2552.0,989.0,1193.0,370.0
94,3549.0,2357.0,488.0,704.0
95,11.0,0.0,1.0,10.0
96,1599.0,532.0,690.0,377.0
97,1.0,0.0,0.0,1.0
98,0.0,0.0,0.0,0.0
99,2654.0,158.0,2411.0,85.0
100,3.0,0.0,0.0,3.0
101,8.0,0.0,0.0,8.0
102,2499.0,1472.0,460.0,567.0
103,2027.0,575.0,917.0,535.0
104,104.0,3.0,33.0,68.0
105,16.0,1.0,2.0,13.0
106,1579.0,339.0,811.0,429.0
107,1535.0,50.0,1366.0,119.0
108,198.0,5.0,172.0,21.0
109,936.0,36.0,822.0,78.0
110,2.0,1.0,0.0,1.0
111,18.0,0.0,0.0,18.0
112,11.0,3.0,4.0,4.0
113,13.0,0.0,0.0,13.0
114,610.0,25.0,208.0,377.0
115,408.0,6.0,76.0,326.0
116,1045.0,15.0,669.0,361.0
117,1049.0,16.0,258.0,775.0
118,320.0,34.0,76.0,210.0
119,386.0,6.0,129.0,251.0
120,1856.0,139.0,1485.0,232.0
121,1524.0,56.0,1354.0,114.0
122,3207.0,193.0,2582.0,432.0
123,9865.0,249.0,8995.0,621.0
124,13026.0,434.0,12168.0,424.0
125,5702.0,194.0,5278.0,230.0
126,54.0,0.0,7.0,47.0
127,523.0,20.0,25.0,478.0
128,729.0,5.0,8.0,716.0
129,25760.0,755.0,24228.0,777.0
130,1473.0,58.0,1344.0,71.0
131,57.0,0.0,34.0,23.0
132,13078.0,582.0,12196.0,300.0
133,1345.0,32.0,1176.0,137.0
134,1549.0,55.0,1348.0,146.0
135,3558.0,94.0,2999.0,465.0
136,775.0,36.0,241.0,498.0
137,225.0,2.0,68.0,155.0
138,424.0,25.0,208.0,191.0
139,628.0,40.0,32.0,556.0
140,19.0,1.0,1.0,17.0
141,65.0,8.0,10.0,47.0
142,358.0,75.0,19.0,264.0
143,128.0,13.0,22.0,93.0
144,315.0,7.0,18.0,290.0
145,654.0,212.0,47.0,395.0
146,68.0,5.0,8.0,55.0
147,257.0,3.0,0.0,254.0
148,769.0,39.0,455.0,275.0
149,272.0,15.0,41.0,216.0
150,105.0,6.0,38.0,61.0
151,10.0,1.0,1.0,8.0
152,136.0,13.0,14.0,109.0
153,458.0,50.0,91.0,317.0
154,11927.0,490.0,10766.0,671.0
155,2509.0,96.0,2102.0,311.0
156,1651.0,116.0,1415.0,120.0
157,9.0,0.0,5.0,4.0
158,1877.0,115.0,258.0,1504.0
159,59.0,7.0,10.0,42.0
160,351.0,26.0,79.0,246.0
161,1.0,0.0,0.0,1.0
162,16.0,0.0,6.0,10.0
163,77.0,4.0,46.0,27.0
164,68.0,5.0,40.0,23.0
165,67.0,5.0,38.0,24.0
166,0.0,0.0,0.0,0.0
167,4.0,1.0,1.0,2.0
168,41.0,7.0,8.0,26.0
169,23.0,3.0,2.0,18.0
170,393.0,52.0,83.0,258.0
171,70.0,1.0,6.0,63.0
172,56.0,10.0,39.0,7.0
173,47.0,7.0,30.0,10.0
174,10.0,0.0,8.0,2.0
175,6703.0,287.0,6001.0,415.0
176,150.0,3.0,131.0,16.0
177,3265.0,184.0,2871.0,210.0
178,8916.0,218.0,8219.0,479.0
179,0.0,0.0,0.0,0.0
180,6468.0,202.0,6063.0,203.0
181,7.0,0.0,1.0,6.0
182,485.0,19.0,221.0,245.0
183,21.0,0.0,2.0,19.0
184,130.0,6.0,19.0,105.0
185,151.0,2.0,1.0,148.0
186,24.0,16.0,0.0,8.0
187,48.0,0.0,16.0,32.0
188,8.0,0.0,1.0,7.0
189,404.0,8.0,6.0,390.0
190,2681.0,64.0,2528.0,89.0
191,7.0,0.0,1.0,6.0
192,76.0,1.0,1.0,74.0
193,171.0,2.0,5.0,164.0
194,16.0,0.0,4.0,12.0
195,1.0,0.0,0.0,1.0
196,0.0,0.0,0.0,0.0
197,2297.0,31.0,2011.0,255.0
198,3919.0,98.0,3683.0,138.0
199,20.0,0.0,4.0,16.0
200,194.0,26.0,10.0,158.0
201,138.0,5.0,5.0,128.0
202,52.0,2.0,0.0,50.0
203,5.0,1.0,1.0,3.0
204,34.0,1.0,1.0,32.0
205,5998.0,202.0,5610.0,186.0
206,3506.0,101.0,3295.0,110.0
207,8672.0,295.0,8071.0,306.0
208,15471.0,651.0,14080.0,740.0
209,14887.0,422.0,13885.0,580.0
210,9188.0,265.0,8303.0,620.0
211,3341.0,129.0,2629.0,583.0
212,1740.0,58.0,1602.0,80.0
213,3592.0,147.0,3087.0,358.0
214,1819.0,64.0,1585.0,170.0
215,3213.0,111.0,2554.0,548.0
216,3765.0,81.0,3053.0,631.0
217,2680.0,114.0,1997.0,569.0
218,2019.0,64.0,1604.0,351.0
219,1646.0,64.0,1378.0,204.0
220,18195.0,630.0,16914.0,651.0
221,26302.0,692.0,24669.0,941.0
222,1751.0,50.0,1637.0,64.0
223,1432.0,48.0,1354.0,30.0
224,16749.0,406.0,15919.0,424.0
225,12481.0,445.0,11750.0,286.0
226,13627.0,359.0,12778.0,490.0
227,8895.0,275.0,8392.0,228.0
228,15428.0,454.0,14341.0,633.0
229,10653.0,249.0,9909.0,495.0
230,11552.0,337.0,10854.0,361.0
231,23297.0,560.0,21711.0,1026.0
232,2154.0,66.0,2043.0,45.0
233,22099.0,671.0,20617.0,811.0
234,86.0,22.0,6.0,58.0
235,1.0,0.0,0.0,1.0
236,39.0,1.0,11.0,27.0
237,3663.0,83.0,3361.0,219.0
238,31.0,0.0,30.0,1.0
239,181.0,6.0,98.0,77.0
240,94.0,4.0,5.0,85.0
241,901.0,45.0,644.0,212.0
242,4.0,0.0,2.0,2.0
243,0.0,0.0,0.0,0.0
244,45.0,1.0,5.0,39.0
245,32.0,2.0,3.0,27.0
246,4683.0,138.0,4154.0,391.0
247,29.0,0.0,28.0,1.0
248,426.0,10.0,313.0,103.0
249,690.0,14.0,589.0,87.0
250,263.0,5.0,231.0,27.0
251,722.0,14.0,654.0,54.0
252,6.0,0.0,0.0,6.0
253,11.0,0.0,3.0,8.0
254,646.0,23.0,23.0,600.0
255,294.0,1.0,21.0,272.0
256,64.0,2.0,2.0,60.0
257,196.0,16.0,47.0,133.0
258,5.0,0.0,3.0,2.0
259,131.0,0.0,1.0,130.0
260,117.0,2.0,27.0,88.0
261,599.0,29.0,186.0,384.0
262,22.0,0.0,5.0,17.0
263,63.0,0.0,2.0,61.0
264,19707.0,616.0,18744.0,347.0
265,2118.0,70.0,2007.0,41.0
266,4.0,3.0,0.0,1.0
267,74.0,1.0,0.0,73.0
268,174.0,8.0,4.0,162.0
269,1457.0,193.0,713.0,551.0
270,163.0,13.0,98.0,52.0
271,21.0,4.0,15.0,2.0
272,4776.0,196.0,4439.0,141.0
273,269.0,17.0,249.0,3.0
274,6380.0,249.0,5817.0,314.0
275,503.0,23.0,407.0,73.0
276,1218.0,37.0,774.0,407.0
277,403.0,25.0,278.0,100.0
278,39.0,2.0,33.0,4.0
279,1235.0,49.0,156.0,1030.0
280,22.0,2.0,4.0,16.0
281,480.0,27.0,100.0,353.0
282,466.0,13.0,73.0,380.0
283,49.0,1.0,21.0,27.0
284,656.0,10.0,174.0,472.0
285,341.0,6.0,47.0,288.0
286,22.0,0.0,7.0,15.0
287,1343.0,60.0,266.0,1017.0
288,41.0,0.0,15.0,26.0
289,1262.0,44.0,120.0,1098.0
290,636.0,21.0,120.0,495.0
291,9.0,0.0,9.0,0.0
292,1.0,0.0,1.0,0.0
293,51.0,1.0,31.0,19.0
294,97.0,3.0,26.0,68.0
295,316.0,6.0,87.0,223.0
296,319.0,18.0,115.0,186.0
297,575.0,16.0,77.0,482.0
298,600.0,45.0,76.0,479.0
299,15.0,0.0,5.0,10.0
300,27.0,0.0,27.0,0.0
301,76.0,0.0,45.0,31.0
302,473.0,10.0,193.0,270.0
303,2.0,0.0,2.0,0.0
304,64.0,0.0,22.0,42.0
305,433.0,19.0,52.0,362.0
306,13.0,0.0,13.0,0.0
307,1.0,0.0,1.0,0.0
308,49.0,0.0,40.0,9.0
309,10.0,1.0,0.0,9.0
310,53.0,2.0,19.0,32.0
311,3.0,1.0,2.0,0.0
312,0.0,0.0,0.0,0.0
313,76.0,1.0,6.0,69.0
314,5.0,0.0,2.0,3.0
315,517.0,21.0,92.0,404.0
316,76.0,3.0,10.0,63.0
317,306.0,5.0,41.0,260.0
318,57.0,0.0,10.0,47.0
319,7.0,0.0,3.0,4.0
320,10.0,0.0,10.0,0.0
321,0.0,0.0,0.0,0.0
322,274.0,3.0,12.0,259.0
323,14.0,0.0,0.0,14.0
324,96.0,0.0,29.0,67.0
325,514.0,10.0,56.0,448.0
326,8.0,0.0,3.0,5.0
327,94.0,10.0,6.0,78.0
328,272.0,1.0,88.0,183.0
329,20.0,9.0,1.0,10.0
330,9.0,0.0,2.0,7.0
331,169.0,15.0,6.0,148.0
332,9.0,2.0,0.0,7.0
333,434.0,11.0,50.0,373.0
334,2.0,0.0,2.0,0.0
335,0.0,0.0,0.0,0.0
336,364.0,85.0,18.0,261.0
337,34.0,0.0,25.0,9.0
338,0.0,0.0,0.0,0.0
339,388.0,11.0,166.0,211.0
340,5.0,1.0,3.0,1.0
341,1.0,0.0,1.0,0.0
342,187.0,46.0,23.0,118.0
343,1.0,0.0,1.0,0.0
344,16.0,0.0,11.0,5.0
345,1159.0,17.0,307.0,835.0
346,1357.0,130.0,39.0,1188.0
347,325.0,78.0,13.0,234.0
348,9.0,0.0,2.0,7.0
349,1.0,0.0,0.0,1.0
350,359.0,6.0,82.0,271.0
351,9.0,0.0,0.0,9.0
352,72.0,0.0,0.0,72.0
353,38.0,2.0,0.0,36.0
354,9.0,1.0,0.0,8.0
355,40.0,4.0,0.0,36.0
356,52.0,1.0,23.0,28.0
357,6.0,0.0,0.0,6.0
358,133.0,17.0,8.0,108.0
359,69.0,1.0,1.0,67.0
360,20.0,0.0,0.0,20.0
361,59.0,5.0,12.0,42.0
362,119.0,4.0,19.0,96.0
363,95.0,3.0,8.0,84.0
364,203.0,1.0,17.0,185.0
365,24.0,0.0,0.0,24.0
366,441.0,61.0,3.0,377.0
367,146.0,3.0,4.0,139.0
368,45.0,1.0,9.0,35.0
369,105.0,0.0,7.0,98.0
370,298.0,9.0,1.0,288.0
371,50.0,3.0,7.0,40.0
372,666.0,15.0,39.0,612.0
373,11.0,0.0,2.0,9.0
374,11.0,1.0,0.0,10.0
375,4.0,0.0,4.0,0.0
376,2.0,0.0,2.0,0.0
377,326.0,28.0,10.0,288.0
378,431.0,29.0,154.0,248.0
379,855.0,83.0,756.0,16.0
380,59.0,8.0,50.0,1.0
381,55.0,9.0,41.0,5.0
382,10342.0,795.0,8892.0,655.0
383,9.0,1.0,8.0,0.0
384,509.0,41.0,455.0,13.0
385,950.0,84.0,666.0,200.0
386,51.0,2.0,49.0,0.0
387,17162.0,1061.0,15635.0,466.0
388,21.0,2.0,0.0,19.0
389,0.0,0.0,0.0,0.0
390,403.0,9.0,81.0,313.0
391,1558.0,88.0,94.0,1376.0
392,49.0,0.0,1.0,48.0
393,260.0,0.0,55.0,205.0
394,4.0,0.0,1.0,3.0
395,0.0,0.0,0.0,0.0
396,18.0,0.0,9.0,9.0
397,403.0,38.0,38.0,327.0
398,0.0,0.0,0.0,0.0
399,480.0,11.0,69.0,400.0
400,32.0,4.0,14.0,14.0
401,0.0,0.0,0.0,0.0
402,811.0,23.0,92.0,696.0
403,13.0,1.0,7.0,5.0
404,0.0,0.0,0.0,0.0
405,784.0,36.0,146.0,602.0
406,227.0,26.0,106.0,95.0
407,189.0,3.0,23.0,163.0
408,380.0,22.0,92.0,266.0
409,335.0,6.0,36.0,293.0
410,217.0,10.0,3.0,204.0
411,312.0,25.0,33.0,254.0
412,52.0,2.0,24.0,26.0
413,114.0,26.0,21.0,67.0
414,76.0,3.0,24.0,49.0
415,139.0,15.0,6.0,118.0
416,0.0,0.0,0.0,0.0
417,32.0,5.0,6.0,21.0
418,1538.0,46.0,1345.0,147.0
419,3598.0,133.0,3130.0,335.0
420,1158.0,31.0,1052.0,75.0
421,485.0,14.0,364.0,107.0
422,710.0,18.0,661.0,31.0
423,1234.0,63.0,1049.0,122.0
424,862.0,57.0,663.0,142.0
425,413.0,23.0,175.0,215.0
426,305.0,15.0,92.0,198.0
427,1324.0,25.0,1155.0,144.0
428,488.0,28.0,429.0,31.0
429,71.0,16.0,8.0,47.0
430,0.0,0.0,0.0,0.0
431,701.0,33.0,616.0,52.0
432,17.0,0.0,2.0,15.0
433,6172.0,139.0,5504.0,529.0
434,2841.0,96.0,2447.0,298.0
435,2796.0,80.0,2539.0,177.0
436,865.0,74.0,233.0,558.0
437,828.0,39.0,363.0,426.0
438,232.0,4.0,2.0,226.0
439,824.0,290.0,23.0,511.0
440,713.0,9.0,372.0,332.0
441,1085.0,10.0,151.0,924.0
442,746.0,16.0,97.0,633.0
443,1585.0,76.0,804.0,705.0
444,2.0,0.0,0.0,2.0
445,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,1789.0,57.0,859.0,873.0
448,1511.0,57.0,283.0,1171.0
449,885.0,152.0,28.0,705.0
450,608.0,22.0,96.0,490.0
451,357.0,2.0,129.0,226.0
452,324.0,4.0,3.0,317.0
453,1198.0,20.0,229.0,949.0
454,4032.0,78.0,3582.0,372.0
455,5175.0,160.0,4602.0,413.0
456,2257.0,50.0,2156.0,51.0
457,2123.0,82.0,1411.0,630.0
458,7717.0,306.0,6041.0,1370.0
459,995.0,30.0,266.0,699.0
460,238.0,2.0,20.0,216.0
461,838.0,58.0,16.0,764.0
462,11877.0,339.0,10423.0,1115.0
463,6266.0,238.0,5230.0,798.0
464,5669.0,117.0,4617.0,935.0
465,3966.0,123.0,3707.0,136.0
466,2140.0,1698.0,249.0,193.0
467,2409.0,1373.0,735.0,301.0
468,6290.0,5905.0,109.0,276.0
469,6452.0,5416.0,250.0,786.0
470,1648.0,883.0,484.0,281.0
471,1101.0,869.0,119.0,113.0
472,10.0,0.0,0.0,10.0
473,293.0,7.0,257.0,29.0
474,646.0,26.0,606.0,14.0
475,1863.0,672.0,978.0,213.0
476,4785.0,3166.0,562.0,1057.0
477,15.0,0.0,0.0,15.0
478,1347.0,534.0,485.0,328.0
479,0.0,0.0,0.0,0.0
480,3.0,0.0,0.0,3.0
481,1654.0,73.0,1510.0,71.0
482,2.0,1.0,0.0,1.0
483,3.0,0.0,2.0,1.0
484,2629.0,1612.0,411.0,606.0
485,1369.0,377.0,676.0,316.0
486,175.0,1.0,26.0,148.0
487,41.0,2.0,0.0,39.0
488,776.0,179.0,327.0,270.0
489,967.0,22.0,901.0,44.0
490,89.0,6.0,79.0,4.0
491,786.0,20.0,709.0,57.0
492,4.0,0.0,2.0,2.0
493,7.0,0.0,0.0,7.0
494,4.0,0.0,1.0,3.0
495,8.0,0.0,2.0,6.0
496,6077.0,214.0,5660.0,203.0
497,5386.0,198.0,5035.0,153.0
498,6787.0,129.0,6419.0,239.0
499,8741.0,254.0,8127.0,360.0
500,20363.0,557.0,19035.0,771.0
501,6422.0,233.0,5918.0,271.0
502,3536.0,136.0,2762.0,638.0
503,1472.0,69.0,1328.0,75.0
504,2484.0,114.0,2072.0,298.0
505,2333.0,70.0,2086.0,177.0
506,2442.0,52.0,2121.0,269.0
507,4721.0,226.0,3989.0,506.0
508,2983.0,125.0,2393.0,465.0
509,1864.0,65.0,1537.0,262.0
510,1599.0,85.0,1394.0,120.0
511,21447.0,885.0,19887.0,675.0
512,19483.0,802.0,18073.0,608.0
513,1878.0,61.0,1748.0,69.0
514,2070.0,111.0,1935.0,24.0
515,15154.0,637.0,13964.0,553.0
516,12601.0,552.0,11652.0,397.0
517,15064.0,486.0,13897.0,681.0
518,18976.0,670.0,17630.0,676.0
519,12273.0,322.0,11489.0,462.0
520,11802.0,355.0,11034.0,413.0
521,20123.0,654.0,18782.0,687.0
522,17379.0,501.0,16195.0,683.0
523,36.0,0.0,1.0,35.0
524,77.0,2.0,0.0,75.0
525,189.0,22.0,7.0,160.0
526,495.0,4.0,5.0,486.0
527,2147.0,57.0,2044.0,46.0
528,3456.0,90.0,3061.0,305.0
529,2115.0,72.0,2003.0,40.0
530,6746.0,295.0,5749.0,702.0
531,2208.0,74.0,1514.0,620.0
532,3648.0,99.0,2982.0,567.0
533,0.0,0.0,0.0,0.0
534,851.0,52.0,78.0,721.0
535,688.0,23.0,26.0,639.0
