pegRNA_idx,total,unaligned,extracted,recombination
0,17.0,1.0,7.0,9.0
1,225.0,35.0,4.0,186.0
2,687.0,13.0,649.0,25.0
3,8445.0,140.0,1721.0,6584.0
4,774.0,12.0,760.0,2.0
5,1599.0,40.0,1500.0,59.0
6,882.0,24.0,790.0,68.0
7,1004.0,10.0,958.0,36.0
8,22.0,3.0,6.0,13.0
9,282.0,7.0,10.0,265.0
10,155.0,0.0,9.0,146.0
11,1966.0,34.0,1904.0,28.0
12,713.0,6.0,699.0,8.0
13,587.0,7.0,578.0,2.0
14,2477.0,31.0,2242.0,204.0
15,5225.0,96.0,5039.0,90.0
16,362.0,5.0,356.0,1.0
17,192.0,3.0,178.0,11.0
18,377.0,11.0,274.0,92.0
19,736.0,14.0,233.0,489.0
20,0.0,0.0,0.0,0.0
21,64.0,0.0,29.0,35.0
22,2.0,0.0,0.0,2.0
23,25.0,4.0,1.0,20.0
24,11.0,1.0,1.0,9.0
25,338.0,1.0,7.0,330.0
26,1.0,0.0,0.0,1.0
27,21.0,3.0,3.0,15.0
28,3.0,0.0,0.0,3.0
29,60.0,7.0,16.0,37.0
30,3270.0,76.0,1593.0,1601.0
31,2450.0,78.0,1670.0,702.0
32,340.0,24.0,276.0,40.0
33,392.0,19.0,224.0,149.0
34,1321.0,122.0,1172.0,27.0
35,1896.0,53.0,1626.0,217.0
36,1368.0,46.0,1292.0,30.0
37,2490.0,64.0,1345.0,1081.0
38,1311.0,43.0,859.0,409.0
39,1611.0,65.0,1299.0,247.0
40,116.0,2.0,91.0,23.0
41,29.0,0.0,1.0,28.0
42,16790.0,414.0,16214.0,162.0
43,8489.0,91.0,8289.0,109.0
44,3614.0,51.0,3469.0,94.0
45,7.0,1.0,1.0,5.0
46,98.0,9.0,77.0,12.0
47,4025.0,112.0,2569.0,1344.0
48,12574.0,243.0,12200.0,131.0
49,272.0,1.0,251.0,20.0
50,6446.0,89.0,6237.0,120.0
51,1878.0,100.0,1723.0,55.0
52,1890.0,37.0,1751.0,102.0
53,832.0,21.0,786.0,25.0
54,9287.0,8754.0,374.0,159.0
55,2572.0,2364.0,160.0,48.0
56,13962.0,12641.0,126.0,1195.0
57,1476.0,1131.0,316.0,29.0
58,3669.0,2699.0,850.0,120.0
59,3568.0,3100.0,360.0,108.0
60,4.0,0.0,0.0,4.0
61,489.0,14.0,466.0,9.0
62,986.0,16.0,937.0,33.0
63,4773.0,4245.0,280.0,248.0
64,1832.0,1255.0,514.0,63.0
65,2524.0,1728.0,637.0,159.0
66,1.0,0.0,0.0,1.0
67,1707.0,48.0,1644.0,15.0
68,14.0,0.0,0.0,14.0
69,4.0,0.0,0.0,4.0
70,5768.0,4234.0,961.0,573.0
71,1845.0,793.0,972.0,80.0
72,1409.0,460.0,882.0,67.0
73,0.0,0.0,0.0,0.0
74,241.0,4.0,193.0,44.0
75,389.0,4.0,379.0,6.0
76,497.0,10.0,469.0,18.0
77,18.0,14.0,1.0,3.0
78,34.0,1.0,3.0,30.0
79,7.0,1.0,0.0,6.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,36.0,0.0,1.0,35.0
83,402.0,11.0,387.0,4.0
84,5463.0,5010.0,373.0,80.0
85,3509.0,2403.0,1041.0,65.0
86,5949.0,5327.0,149.0,473.0
87,9190.0,8729.0,255.0,206.0
88,2126.0,1333.0,623.0,170.0
89,2483.0,2060.0,347.0,76.0
90,0.0,0.0,0.0,0.0
91,416.0,9.0,405.0,2.0
92,571.0,11.0,547.0,13.0
93,3455.0,1558.0,1397.0,500.0
94,8197.0,4826.0,1265.0,2106.0
95,1.0,0.0,0.0,1.0
96,2384.0,698.0,761.0,925.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,2530.0,139.0,2351.0,40.0
100,0.0,0.0,0.0,0.0
101,23.0,1.0,11.0,11.0
102,5861.0,3000.0,2730.0,131.0
103,2674.0,1438.0,1144.0,92.0
104,13.0,0.0,1.0,12.0
105,21.0,4.0,2.0,15.0
106,2096.0,759.0,1189.0,148.0
107,2079.0,32.0,2016.0,31.0
108,281.0,77.0,203.0,1.0
109,964.0,18.0,931.0,15.0
110,1.0,0.0,0.0,1.0
111,0.0,0.0,0.0,0.0
112,4.0,0.0,0.0,4.0
113,4.0,0.0,3.0,1.0
114,637.0,23.0,418.0,196.0
115,2328.0,87.0,556.0,1685.0
116,14810.0,312.0,13369.0,1129.0
117,2764.0,119.0,2348.0,297.0
118,562.0,26.0,490.0,46.0
119,3109.0,152.0,1778.0,1179.0
120,1061.0,34.0,996.0,31.0
121,1621.0,149.0,1372.0,100.0
122,4266.0,135.0,3335.0,796.0
123,11989.0,302.0,11436.0,251.0
124,14584.0,188.0,13734.0,662.0
125,4061.0,70.0,3953.0,38.0
126,35.0,0.0,35.0,0.0
127,648.0,15.0,599.0,34.0
128,306.0,7.0,43.0,256.0
129,16867.0,712.0,15841.0,314.0
130,942.0,17.0,915.0,10.0
131,83.0,4.0,9.0,70.0
132,8674.0,357.0,8131.0,186.0
133,2200.0,45.0,2097.0,58.0
134,1048.0,102.0,897.0,49.0
135,4319.0,169.0,2832.0,1318.0
136,5697.0,158.0,2867.0,2672.0
137,553.0,15.0,56.0,482.0
138,6001.0,182.0,4438.0,1381.0
139,148.0,24.0,85.0,39.0
140,8.0,2.0,1.0,5.0
141,50.0,4.0,2.0,44.0
142,32.0,1.0,7.0,24.0
143,75.0,24.0,22.0,29.0
144,35.0,3.0,14.0,18.0
145,267.0,27.0,188.0,52.0
146,227.0,33.0,10.0,184.0
147,975.0,10.0,50.0,915.0
148,2295.0,139.0,1301.0,855.0
149,511.0,20.0,289.0,202.0
150,345.0,17.0,304.0,24.0
151,6.0,0.0,0.0,6.0
152,19.0,0.0,6.0,13.0
153,67.0,1.0,22.0,44.0
154,24121.0,747.0,23045.0,329.0
155,4610.0,166.0,3329.0,1115.0
156,4080.0,166.0,3679.0,235.0
157,5.0,0.0,4.0,1.0
158,5146.0,121.0,105.0,4920.0
159,28.0,2.0,23.0,3.0
160,274.0,3.0,23.0,248.0
161,1.0,0.0,0.0,1.0
162,3.0,0.0,3.0,0.0
163,96.0,1.0,90.0,5.0
164,110.0,2.0,92.0,16.0
165,104.0,0.0,98.0,6.0
166,1.0,0.0,0.0,1.0
167,1.0,0.0,0.0,1.0
168,11.0,0.0,1.0,10.0
169,80.0,3.0,2.0,75.0
170,2027.0,35.0,1374.0,618.0
171,13.0,0.0,0.0,13.0
172,32.0,0.0,32.0,0.0
173,59.0,1.0,54.0,4.0
174,59.0,4.0,23.0,32.0
175,6975.0,89.0,6843.0,43.0
176,131.0,16.0,114.0,1.0
177,2960.0,34.0,2886.0,40.0
178,8294.0,899.0,7315.0,80.0
179,0.0,0.0,0.0,0.0
180,6071.0,123.0,4533.0,1415.0
181,0.0,0.0,0.0,0.0
182,127.0,2.0,114.0,11.0
183,417.0,15.0,2.0,400.0
184,370.0,3.0,353.0,14.0
185,82.0,3.0,8.0,71.0
186,5.0,3.0,1.0,1.0
187,19.0,0.0,13.0,6.0
188,21.0,0.0,0.0,21.0
189,431.0,5.0,16.0,410.0
190,4486.0,59.0,4371.0,56.0
191,0.0,0.0,0.0,0.0
192,19.0,0.0,14.0,5.0
193,59.0,3.0,43.0,13.0
194,33.0,0.0,23.0,10.0
195,3.0,0.0,0.0,3.0
196,0.0,0.0,0.0,0.0
197,3617.0,36.0,3550.0,31.0
198,3748.0,31.0,3680.0,37.0
199,2.0,0.0,0.0,2.0
200,46.0,7.0,2.0,37.0
201,114.0,2.0,0.0,112.0
202,250.0,2.0,5.0,243.0
203,0.0,0.0,0.0,0.0
204,1.0,0.0,1.0,0.0
205,5640.0,98.0,5478.0,64.0
206,2772.0,34.0,2690.0,48.0
207,11339.0,179.0,11050.0,110.0
208,13223.0,583.0,12311.0,329.0
209,14848.0,236.0,13399.0,1213.0
210,16387.0,206.0,14165.0,2016.0
211,5037.0,106.0,3342.0,1589.0
212,3062.0,204.0,2523.0,335.0
213,6062.0,100.0,3960.0,2002.0
214,1966.0,35.0,1310.0,621.0
215,3564.0,96.0,2853.0,615.0
216,3537.0,61.0,3378.0,98.0
217,2483.0,72.0,2064.0,347.0
218,1925.0,54.0,1778.0,93.0
219,1673.0,80.0,1556.0,37.0
220,18995.0,4998.0,13522.0,475.0
221,18672.0,2855.0,15306.0,511.0
222,1374.0,25.0,1326.0,23.0
223,746.0,10.0,647.0,89.0
224,20660.0,498.0,19278.0,884.0
225,4870.0,66.0,4496.0,308.0
226,11071.0,1163.0,9695.0,213.0
227,11920.0,148.0,11526.0,246.0
228,13931.0,170.0,13387.0,374.0
229,13726.0,155.0,13440.0,131.0
230,21942.0,354.0,17989.0,3599.0
231,34156.0,921.0,32184.0,1051.0
232,2116.0,25.0,2055.0,36.0
233,24693.0,868.0,22808.0,1017.0
234,77.0,72.0,0.0,5.0
235,0.0,0.0,0.0,0.0
236,14.0,0.0,11.0,3.0
237,5426.0,75.0,4289.0,1062.0
238,67.0,3.0,59.0,5.0
239,315.0,7.0,269.0,39.0
240,162.0,2.0,30.0,130.0
241,1117.0,16.0,1049.0,52.0
242,12.0,0.0,12.0,0.0
243,0.0,0.0,0.0,0.0
244,38.0,2.0,34.0,2.0
245,150.0,24.0,2.0,124.0
246,6743.0,340.0,6316.0,87.0
247,45.0,0.0,39.0,6.0
248,913.0,31.0,803.0,79.0
249,901.0,12.0,868.0,21.0
250,218.0,3.0,215.0,0.0
251,750.0,16.0,722.0,12.0
252,98.0,2.0,2.0,94.0
253,178.0,2.0,4.0,172.0
254,669.0,9.0,5.0,655.0
255,185.0,0.0,12.0,173.0
256,81.0,49.0,4.0,28.0
257,19.0,0.0,7.0,12.0
258,1.0,0.0,0.0,1.0
259,104.0,3.0,2.0,99.0
260,920.0,6.0,13.0,901.0
261,654.0,53.0,550.0,51.0
262,30.0,0.0,6.0,24.0
263,81.0,2.0,4.0,75.0
264,27211.0,387.0,26365.0,459.0
265,2794.0,52.0,2689.0,53.0
266,0.0,0.0,0.0,0.0
267,17.0,0.0,1.0,16.0
268,34.0,5.0,16.0,13.0
269,1167.0,161.0,763.0,243.0
270,119.0,17.0,94.0,8.0
271,24.0,2.0,22.0,0.0
272,5911.0,355.0,5350.0,206.0
273,388.0,31.0,354.0,3.0
274,11660.0,365.0,11152.0,143.0
275,1653.0,35.0,1610.0,8.0
276,607.0,55.0,528.0,24.0
277,2185.0,124.0,227.0,1834.0
278,32.0,3.0,27.0,2.0
279,1271.0,24.0,115.0,1132.0
280,39.0,0.0,3.0,36.0
281,577.0,5.0,92.0,480.0
282,176.0,15.0,92.0,69.0
283,38.0,1.0,29.0,8.0
284,100.0,2.0,66.0,32.0
285,2843.0,101.0,46.0,2696.0
286,75.0,0.0,5.0,70.0
287,1880.0,30.0,253.0,1597.0
288,34.0,0.0,28.0,6.0
289,605.0,18.0,154.0,433.0
290,291.0,15.0,40.0,236.0
291,11.0,0.0,11.0,0.0
292,3.0,0.0,3.0,0.0
293,134.0,2.0,54.0,78.0
294,36.0,1.0,31.0,4.0
295,51.0,1.0,1.0,49.0
296,92.0,5.0,70.0,17.0
297,43.0,0.0,12.0,31.0
298,289.0,5.0,147.0,137.0
299,34.0,0.0,18.0,16.0
