peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_2,1162,1152,965,50,137,49,87,1,83.76736111111111,4.340277777777778,11.89236111111111,4.253472222222222
peg_3,2076,2068,1471,180,417,306,109,2,71.13152804642166,8.704061895551257,20.16441005802708,14.796905222437138
peg_4,736,735,626,6,103,16,86,1,85.17006802721089,0.8163265306122449,14.013605442176871,2.17687074829932
peg_5,3151,3140,2134,426,580,89,490,1,67.96178343949045,13.566878980891719,18.471337579617835,2.8343949044585988
peg_6,1102,1099,839,152,108,19,83,6,76.34212920837125,13.830755232029118,9.827115559599637,1.7288444040036397
peg_7,2942,2937,2267,58,612,96,512,4,77.18760640108955,1.9748042219952333,20.83758937691522,3.268641470888662
peg_8,15,15,0,0,15,15,0,0,0.0,0.0,100.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_11,1021,1012,863,65,84,6,78,0,85.27667984189723,6.4229249011857705,8.300395256916996,0.5928853754940712
peg_12,1303,1282,1101,79,102,29,71,2,85.8814352574103,6.162246489859594,7.956318252730109,2.2620904836193447
peg_13,965,964,897,22,45,5,39,1,93.04979253112033,2.2821576763485476,4.668049792531121,0.5186721991701245
peg_14,5632,5621,4729,222,670,258,411,1,84.1309375555951,3.9494751823518945,11.919587262053016,4.5899306173278775
peg_15,8083,8058,6768,517,773,15,752,6,83.99106478034251,6.415984115165053,9.59295110449243,0.18615040953090098
peg_16,58,57,46,1,10,0,10,0,80.70175438596492,1.7543859649122806,17.54385964912281,0.0
peg_17,791,768,372,22,374,222,151,1,48.4375,2.8645833333333335,48.697916666666664,28.90625
peg_18,634,448,134,17,297,92,162,43,29.910714285714285,3.794642857142857,66.29464285714286,20.535714285714285
peg_19,493,449,365,11,73,6,67,0,81.29175946547885,2.4498886414253898,16.258351893095767,1.3363028953229399
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_21,4,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_24,7,5,0,0,5,5,0,0,0.0,0.0,100.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_29,693,158,0,0,158,109,0,49,0.0,0.0,100.0,68.9873417721519
peg_30,166,121,0,16,105,50,9,46,0.0,13.223140495867769,86.77685950413223,41.32231404958678
peg_31,67,63,1,29,33,3,19,11,1.5873015873015872,46.03174603174603,52.38095238095238,4.761904761904762
peg_32,51,35,2,11,22,5,8,9,5.714285714285714,31.428571428571427,62.857142857142854,14.285714285714286
peg_33,37,22,0,12,10,1,5,4,0.0,54.54545454545455,45.45454545454545,4.545454545454546
peg_34,1065,1046,869,46,131,26,99,6,83.07839388145315,4.397705544933078,12.523900573613767,2.48565965583174
peg_35,1964,1948,956,171,821,493,323,5,49.07597535934291,8.7782340862423,42.14579055441479,25.308008213552363
peg_36,1807,1332,780,168,384,32,349,3,58.55855855855856,12.612612612612613,28.82882882882883,2.4024024024024024
peg_37,1248,198,1,5,192,84,92,16,0.5050505050505051,2.525252525252525,96.96969696969697,42.42424242424242
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_39,302,276,1,10,265,69,110,86,0.36231884057971014,3.6231884057971016,96.01449275362319,25.0
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_42,20060,20001,15569,1425,3007,1784,1156,67,77.84110794460277,7.12464376781161,15.034248287585621,8.919554022298884
peg_43,11887,11855,10037,637,1181,119,1038,24,84.66469843947701,5.373260227752003,9.962041332770983,1.0037958667229017
peg_44,9322,9301,7948,516,837,147,677,13,85.45317707773357,5.547790560154822,8.9990323621116,1.5804752177185248
peg_45,50,49,0,0,49,47,2,0,0.0,0.0,100.0,95.91836734693878
peg_46,209,186,0,9,177,113,47,17,0.0,4.838709677419355,95.16129032258064,60.75268817204301
peg_47,245,205,3,28,174,34,38,102,1.4634146341463414,13.658536585365853,84.8780487804878,16.585365853658537
peg_48,25591,25539,20575,2461,2503,519,1802,182,80.56306041740083,9.636242609342574,9.800696973256589,2.032186068366028
peg_49,659,657,578,3,76,31,38,7,87.97564687975647,0.45662100456621,11.567732115677321,4.718417047184171
peg_50,9677,9654,8591,400,663,156,484,23,88.98902009529729,4.143360265175057,6.867619639527657,1.6159105034182721
peg_51,1559,1547,1071,169,307,24,277,6,69.23076923076923,10.92436974789916,19.84486102133161,1.5513897866839044
peg_52,2127,1965,1185,151,629,19,570,40,60.30534351145038,7.684478371501272,32.01017811704835,0.9669211195928753
peg_53,1782,1704,1487,47,170,66,95,9,87.26525821596245,2.7582159624413145,9.976525821596244,3.8732394366197185
peg_54,993,751,490,4,257,61,186,10,65.24633821571238,0.5326231691078562,34.22103861517976,8.122503328894807
peg_55,628,608,562,0,46,0,46,0,92.4342105263158,0.0,7.565789473684211,0.0
peg_56,574,550,315,0,235,187,48,0,57.27272727272727,0.0,42.72727272727273,34.0
peg_57,974,963,756,0,207,129,70,8,78.50467289719626,0.0,21.49532710280374,13.39563862928349
peg_58,2119,2081,1627,0,454,100,349,5,78.18356559346468,0.0,21.81643440653532,4.805382027871215
peg_59,828,779,681,0,98,20,76,2,87.41976893453145,0.0,12.58023106546855,2.5673940949935816
peg_60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
