peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_28064,9071,9028,7535,124,1369,223,1128,18,83.46256092157732,1.3735046521931769,15.163934426229508,2.470093043863536
peg_28065,360,354,0,0,354,237,117,0,0.0,0.0,100.0,66.94915254237289
peg_28066,11,11,5,0,6,1,5,0,45.45454545454545,0.0,54.54545454545455,9.090909090909092
peg_28067,7,7,3,0,4,0,4,0,42.857142857142854,0.0,57.142857142857146,0.0
peg_28068,4,3,0,0,3,0,3,0,0.0,0.0,100.0,0.0
peg_28069,3,3,3,0,0,0,0,0,100.0,0.0,0.0,0.0
peg_28070,24,20,0,0,20,1,19,0,0.0,0.0,100.0,5.0
peg_28071,16,11,1,3,7,4,2,1,9.090909090909092,27.272727272727273,63.63636363636363,36.36363636363637
peg_28072,28,25,2,1,22,1,20,1,8.0,4.0,88.0,4.0
peg_28073,3,3,2,0,1,0,1,0,66.66666666666667,0.0,33.333333333333336,0.0
peg_28074,3,3,1,2,0,0,0,0,33.333333333333336,66.66666666666667,0.0,0.0
peg_28075,50,49,0,0,49,4,45,0,0.0,0.0,100.0,8.16326530612245
peg_28076,121,61,0,2,59,7,50,2,0.0,3.278688524590164,96.72131147540983,11.475409836065573
peg_28077,65,53,0,0,53,33,2,18,0.0,0.0,100.0,62.264150943396224
peg_28078,15,8,0,0,8,5,0,3,0.0,0.0,100.0,62.5
peg_28079,27,22,0,1,21,9,12,0,0.0,4.545454545454546,95.45454545454545,40.90909090909091
peg_28080,168,116,0,0,116,18,0,98,0.0,0.0,100.0,15.517241379310345
peg_28081,4,4,2,2,0,0,0,0,50.0,50.0,0.0,0.0
peg_28082,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28083,5,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0
peg_28084,11,5,0,0,5,4,1,0,0.0,0.0,100.0,80.0
peg_28085,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28086,3,3,0,0,3,0,3,0,0.0,0.0,100.0,0.0
peg_28087,104,93,0,0,93,25,63,5,0.0,0.0,100.0,26.881720430107528
peg_28088,49,35,0,0,35,34,1,0,0.0,0.0,100.0,97.14285714285714
peg_28089,356,271,14,0,257,212,45,0,5.166051660516605,0.0,94.8339483394834,78.22878228782288
peg_28090,20,15,4,1,10,4,6,0,26.666666666666668,6.666666666666667,66.66666666666667,26.666666666666668
peg_28091,72,60,0,0,60,34,22,4,0.0,0.0,100.0,56.666666666666664
peg_28092,9,9,6,3,0,0,0,0,66.66666666666667,33.333333333333336,0.0,0.0
peg_28093,32,19,0,0,19,13,5,1,0.0,0.0,100.0,68.42105263157895
peg_28094,69,55,0,1,54,1,53,0,0.0,1.8181818181818181,98.18181818181819,1.8181818181818181
peg_28095,78,15,0,0,15,10,5,0,0.0,0.0,100.0,66.66666666666667
peg_28096,1,1,0,0,1,0,1,0,0.0,0.0,100.0,0.0
peg_28097,4,4,0,0,4,4,0,0,0.0,0.0,100.0,100.0
peg_28098,129,84,0,0,84,75,1,8,0.0,0.0,100.0,89.28571428571429
peg_28099,1814,1722,1346,0,376,126,181,69,78.16492450638792,0.0,21.835075493612077,7.317073170731708
peg_28100,73,68,0,0,68,51,0,17,0.0,0.0,100.0,75.0
peg_28101,136,122,27,0,95,20,69,6,22.131147540983605,0.0,77.8688524590164,16.39344262295082
peg_28102,232,216,121,0,95,9,63,23,56.01851851851852,0.0,43.98148148148148,4.166666666666667
peg_28103,14,9,0,0,9,5,1,3,0.0,0.0,100.0,55.55555555555556
peg_28104,3864,3837,2465,45,1327,600,559,168,64.24289809747198,1.1727912431587177,34.5843106593693,15.63721657544957
peg_28105,475,469,230,0,239,46,108,85,49.04051172707889,0.0,50.95948827292111,9.808102345415778
peg_28106,978,928,535,0,393,208,113,72,57.650862068965516,0.0,42.349137931034484,22.413793103448278
peg_28107,4,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0
peg_28108,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28109,154,139,0,0,139,91,0,48,0.0,0.0,100.0,65.46762589928058
peg_28110,17421,17367,13680,372,3315,1436,1524,355,78.77008118846088,2.1419934358265675,19.087925375712558,8.268555306040192
peg_28111,2549,2530,1895,270,365,96,203,66,74.90118577075098,10.671936758893281,14.42687747035573,3.794466403162055
peg_28112,9,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_28113,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28114,7075,7017,5661,198,1158,343,574,241,80.67550235143223,2.8217186831979477,16.502778965369817,4.888128829984324
peg_28115,2,2,2,0,0,0,0,0,100.0,0.0,0.0,0.0
peg_28116,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28117,18,13,0,0,13,1,12,0,0.0,0.0,100.0,7.6923076923076925
peg_28118,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28119,1,1,0,0,1,0,1,0,0.0,0.0,100.0,0.0
peg_28120,38,25,0,0,25,9,16,0,0.0,0.0,100.0,36.0
peg_28121,11,9,3,0,6,0,6,0,33.333333333333336,0.0,66.66666666666667,0.0
peg_28122,4,2,0,0,2,0,2,0,0.0,0.0,100.0,0.0
peg_28123,4,4,4,0,0,0,0,0,100.0,0.0,0.0,0.0
peg_28124,32,26,0,0,26,18,7,1,0.0,0.0,100.0,69.23076923076923
peg_28125,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28126,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28127,67,59,0,0,59,35,20,4,0.0,0.0,100.0,59.32203389830509
peg_28128,1419,1393,1213,51,129,14,107,8,87.07824838478105,3.6611629576453697,9.260588657573582,1.0050251256281406
peg_28129,4794,4733,3853,130,750,49,699,2,81.40714134798225,2.7466723008662584,15.84618635115149,1.0352841749418973
peg_28130,4752,4733,3701,229,803,127,672,4,78.19564758081555,4.8383688992182545,16.965983519966194,2.683287555461652
peg_28131,761,754,619,6,129,32,96,1,82.09549071618036,0.7957559681697612,17.108753315649867,4.244031830238727
peg_28132,239,216,181,3,32,11,17,4,83.79629629629629,1.3888888888888888,14.814814814814815,5.092592592592593
peg_28133,526,514,415,3,96,31,65,0,80.73929961089495,0.5836575875486382,18.67704280155642,6.031128404669261
peg_28134,1329,1304,1171,14,119,21,97,1,89.80061349693251,1.0736196319018405,9.125766871165645,1.6104294478527608
peg_28135,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28136,1275,1269,1099,6,164,30,134,0,86.60362490149724,0.4728132387706856,12.923561859732072,2.3640661938534278
peg_28137,2107,2095,1877,10,208,71,129,8,89.59427207637232,0.477326968973747,9.928400954653938,3.389021479713604
peg_28138,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28139,924,916,800,5,111,5,106,0,87.33624454148472,0.5458515283842795,12.117903930131005,0.5458515283842795
peg_28140,1682,1660,1488,20,152,21,127,4,89.63855421686748,1.2048192771084338,9.156626506024097,1.2650602409638554
peg_28141,2905,2880,2327,62,491,115,372,4,80.79861111111111,2.1527777777777777,17.04861111111111,3.9930555555555554
peg_28142,59,19,5,14,0,0,0,0,26.31578947368421,73.6842105263158,0.0,0.0
peg_28143,4637,4612,3521,227,864,140,721,3,76.34431916738941,4.92194275802255,18.733738074588032,3.0355594102341716
peg_28144,6161,6095,4766,280,1049,287,754,8,78.1952420016407,4.5939294503691555,17.210828547990157,4.708777686628384
peg_28145,1467,1448,1281,46,121,17,95,9,88.46685082872928,3.1767955801104972,8.356353591160222,1.1740331491712708
peg_28146,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28147,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28148,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28149,1,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_28150,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28151,7,3,0,0,3,3,0,0,0.0,0.0,100.0,100.0
peg_28152,3302,3267,2716,43,508,206,289,13,83.13437404346496,1.3161922252831344,15.549433731251913,6.30547903275176
