peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_8370,112,110,102,2,6,3,3,0,92.72727272727273,1.8181818181818181,5.454545454545454,2.727272727272727
peg_8371,123,118,112,0,6,0,6,0,94.91525423728814,0.0,5.084745762711864,0.0
peg_8372,228,203,191,0,12,8,4,0,94.08866995073892,0.0,5.911330049261084,3.9408866995073892
peg_8373,211,211,175,0,36,28,8,0,82.93838862559242,0.0,17.061611374407583,13.270142180094787
peg_8374,144,60,44,0,16,9,7,0,73.33333333333333,0.0,26.666666666666668,15.0
peg_8375,167,83,68,0,15,13,0,2,81.92771084337349,0.0,18.072289156626507,15.662650602409638
peg_8376,169,106,77,0,29,19,10,0,72.64150943396227,0.0,27.358490566037737,17.92452830188679
peg_8377,605,557,494,2,61,43,18,0,88.68940754039497,0.3590664272890485,10.951526032315979,7.719928186714542
peg_8378,146,131,107,0,24,22,2,0,81.6793893129771,0.0,18.3206106870229,16.793893129770993
peg_8379,208,192,119,0,73,63,10,0,61.979166666666664,0.0,38.020833333333336,32.8125
peg_8380,368,343,313,1,29,12,16,1,91.25364431486881,0.2915451895043732,8.454810495626822,3.498542274052478
peg_8381,174,164,151,1,12,6,6,0,92.07317073170732,0.6097560975609756,7.317073170731708,3.658536585365854
peg_8382,627,587,506,1,80,23,57,0,86.20102214650767,0.17035775127768313,13.62862010221465,3.918228279386712
peg_8383,177,121,70,3,48,38,10,0,57.85123966942149,2.479338842975207,39.66942148760331,31.40495867768595
peg_8384,313,303,257,1,45,25,20,0,84.81848184818482,0.33003300330033003,14.851485148514852,8.250825082508252
peg_8385,202,197,183,0,14,2,12,0,92.89340101522842,0.0,7.106598984771574,1.015228426395939
peg_8386,27,26,23,0,3,0,3,0,88.46153846153847,0.0,11.538461538461538,0.0
peg_8387,173,173,166,0,7,2,5,0,95.95375722543352,0.0,4.046242774566474,1.1560693641618498
peg_8388,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8389,171,169,163,0,6,1,5,0,96.44970414201184,0.0,3.5502958579881656,0.591715976331361
peg_8390,334,329,308,1,20,2,14,4,93.61702127659575,0.303951367781155,6.079027355623101,0.60790273556231
peg_8391,78,77,68,1,8,3,5,0,88.31168831168831,1.2987012987012987,10.38961038961039,3.896103896103896
peg_8392,108,103,94,0,9,3,6,0,91.2621359223301,0.0,8.737864077669903,2.912621359223301
peg_8393,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8394,917,898,834,4,60,11,49,0,92.87305122494432,0.44543429844098,6.6815144766147,1.2249443207126949
peg_8395,413,405,383,0,22,5,17,0,94.5679012345679,0.0,5.432098765432099,1.2345679012345678
peg_8396,631,623,589,1,33,11,22,0,94.54253611556982,0.16051364365971107,5.296950240770466,1.7656500802568218
peg_8397,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8398,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8399,780,760,710,0,50,4,44,2,93.42105263157895,0.0,6.578947368421052,0.5263157894736842
peg_8400,43,42,36,0,6,5,1,0,85.71428571428571,0.0,14.285714285714286,11.904761904761905
peg_8401,23,23,21,0,2,1,1,0,91.30434782608695,0.0,8.695652173913043,4.3478260869565215
peg_8402,1423,1418,1317,0,101,24,77,0,92.87729196050776,0.0,7.122708039492243,1.692524682651622
peg_8403,651,648,596,0,52,7,40,5,91.9753086419753,0.0,8.024691358024691,1.0802469135802468
peg_8404,417,416,399,0,17,1,16,0,95.91346153846153,0.0,4.086538461538462,0.2403846153846154
peg_8405,996,994,946,1,47,8,39,0,95.17102615694165,0.1006036217303823,4.7283702213279675,0.8048289738430584
peg_8406,109,109,96,0,13,6,6,1,88.07339449541284,0.0,11.926605504587156,5.504587155963303
peg_8407,121,121,108,0,13,1,12,0,89.25619834710744,0.0,10.743801652892563,0.8264462809917356
peg_8408,296,289,260,0,29,7,22,0,89.96539792387543,0.0,10.034602076124568,2.422145328719723
peg_8409,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8410,3,3,0,0,3,0,0,3,0.0,0.0,100.0,0.0
peg_8411,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8412,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8413,24,24,22,1,1,0,1,0,91.66666666666667,4.166666666666667,4.166666666666667,0.0
peg_8414,803,802,739,0,63,9,54,0,92.14463840399003,0.0,7.855361596009975,1.1221945137157108
peg_8415,600,597,552,0,45,10,32,3,92.46231155778895,0.0,7.5376884422110555,1.6750418760469012
peg_8416,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8417,6,6,0,0,6,6,0,0,0.0,0.0,100.0,100.0
peg_8418,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8419,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8420,13,13,11,0,2,0,2,0,84.61538461538461,0.0,15.384615384615385,0.0
peg_8421,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8422,94,94,90,0,4,1,3,0,95.74468085106383,0.0,4.25531914893617,1.0638297872340425
peg_8423,3293,3279,2942,25,312,99,212,1,89.72247636474535,0.7624275693809088,9.515096065873742,3.019213174748399
peg_8424,33,33,32,0,1,0,1,0,96.96969696969697,0.0,3.0303030303030303,0.0
peg_8425,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8426,86,86,55,0,31,27,4,0,63.95348837209303,0.0,36.04651162790697,31.3953488372093
peg_8427,2871,2863,2636,7,220,44,172,4,92.07125392944464,0.24449877750611246,7.684247293049249,1.5368494586098498
peg_8428,327,324,297,0,27,13,14,0,91.66666666666667,0.0,8.333333333333334,4.012345679012346
peg_8429,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8430,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8431,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8432,9,4,0,0,4,4,0,0,0.0,0.0,100.0,100.0
peg_8433,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_8434,1613,1612,1508,15,89,12,76,1,93.54838709677419,0.9305210918114144,5.521091811414392,0.7444168734491315
peg_8435,897,883,595,5,283,56,215,12,67.38391845979615,0.5662514156285391,32.04983012457531,6.342015855039637
peg_8436,2011,1988,1622,11,355,221,129,5,81.58953722334005,0.5533199195171026,17.857142857142858,11.116700201207243
peg_8437,12,11,0,0,11,1,0,10,0.0,0.0,100.0,9.090909090909092
peg_8438,163,56,0,0,56,56,0,0,0.0,0.0,100.0,100.0
