Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
57,21,0,0,21,0,0,21,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
2477,2449,2023,79,347,66,278,3,82.60514495712536,3.225806451612903,14.16904859126174,2.694977541853818,3.0449746252114562,5.850784576795194,1.2483229306422448,91.10424079799336
4641,4412,3232,488,692,328,359,5,73.25475974614687,11.060743427017226,15.684496826835902,7.43427017225748,10.982434891386841,4.564684767321415,5.085014103345969,84.45288034129175
1638,1636,1417,23,196,39,155,2,86.61369193154034,1.4058679706601467,11.98044009779951,2.3838630806845966,1.4058679706601467,0.0,0.08060012483046997,98.59413202933985
6035,6019,4064,741,1214,205,1007,2,67.51952151520186,12.311015118790497,20.169463366007644,3.4058813756437947,12.311015118790497,6.932648474590891,0.2000902691288,80.75633640661862
2273,2267,1715,354,198,22,151,25,75.65063961182179,15.615350683722982,8.734009704455227,0.9704455227172475,15.299394917530249,1.625004965118734,0.0,83.07560011735102
5978,5959,4654,268,1037,122,908,7,78.10035240812216,4.497398892431616,17.402248699446215,2.047323376405437,4.3808487758815,6.096887394084909,0.18252151160357233,89.5222638300336
91,89,0,0,89,89,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
20,15,0,0,15,1,1,13,0.0,0.0,100.0,6.666666666666667,0.0,100.0,6.666666666666667,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2389,2362,1824,180,358,100,246,12,77.22269263336156,7.6206604572396275,15.156646909398814,4.233700254022016,7.381711831194227,4.284484424333103,1.1273681154318127,88.33380374447268
2403,2378,1975,170,233,43,184,6,83.05298570227082,7.1488645920941964,9.798149705634987,1.808242220353238,6.992858351844586,0.0,1.028211019105188,93.00714164815541
1522,1520,1373,53,94,9,84,1,90.32894736842105,3.486842105263158,6.184210526315789,0.5921052631578947,3.486842105263158,0.0,0.0,96.51315789473684
9018,9004,7517,456,1031,305,723,3,83.48511772545535,5.0644158151932475,11.4504664593514,3.38738338516215,4.9823140089535105,0.20251900450739413,0.10331113557265903,94.8151669865391
16618,16555,13003,1558,1994,192,1790,12,78.5442464512232,9.411054062216852,12.044699486559951,1.1597704620960434,9.267924291224485,0.0,0.0,90.73207570877551
195,193,158,8,27,0,27,0,81.86528497409327,4.1450777202072535,13.989637305699482,0.0,4.1450777202072535,5.3441041644891065,0.0,90.51081811530364
1366,1313,738,46,529,234,294,1,56.207159177456205,3.5034272658035035,40.28941355674029,17.821782178217823,3.5034272658035035,19.999558484276523,7.0557366295635795,76.49701424991997
1409,1176,260,38,878,353,481,44,22.108843537414966,3.2312925170068025,74.65986394557824,30.017006802721088,3.2312925170068025,49.98267599722817,21.40868542538967,46.78603148576503
1197,1112,644,23,445,235,210,0,57.9136690647482,2.068345323741007,40.01798561151079,21.133093525179856,2.068345323741007,19.77784839024149,14.958136406826512,78.1538062860175
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
54,41,0,0,41,0,0,41,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
15,13,0,0,13,9,0,4,0.0,0.0,100.0,69.23076923076923,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
799,231,0,0,231,139,0,92,0.0,0.0,100.0,60.17316017316017,0.0,0.0,17.316017316017323,100.0
636,412,0,30,382,92,114,176,0.0,7.281553398058253,92.71844660194175,22.33009708737864,6.523977640482495,69.23359811709327,16.269491026772577,24.242424242424235
228,165,3,57,105,8,66,31,1.8181818181818181,34.54545454545455,63.63636363636363,4.848484848484849,34.54545454545455,42.64870931537598,2.3793490460157125,22.80583613916947
316,191,2,15,174,6,33,135,1.0471204188481675,7.853403141361256,91.09947643979058,3.141361256544503,7.853403141361256,68.97558263448084,0.0,23.1710142241579
175,122,0,23,99,14,63,22,0.0,18.852459016393443,81.14754098360656,11.475409836065573,18.852459016393443,59.308460523836445,5.728283399283964,21.839080459770116
2722,2696,2244,145,307,67,231,9,83.23442136498517,5.378338278931751,11.387240356083087,2.4851632047477743,5.378338278931751,1.5499049571675183,0.1613831892559081,93.07175676390074
3779,3734,2123,395,1216,573,630,13,56.85591858596679,10.578468130690949,32.56561328334226,15.345474022495983,10.325517034569533,21.35144802195946,12.14142680495804,68.32303494347101
4344,3406,2077,449,880,55,814,11,60.98062243100411,13.182618907809747,25.836758661186142,1.6147974163241339,12.371808096998937,14.125046949474429,0.0,73.50314495352663
2084,457,2,13,442,116,136,190,0.437636761487965,2.8446389496717726,96.71772428884026,25.38293216630197,0.9578464968415838,57.0950827794063,21.60934726064159,41.94707072375212
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
638,549,5,19,525,140,231,154,0.9107468123861566,3.4608378870673953,95.62841530054645,25.500910746812387,3.4608378870673953,64.19984387197502,19.786625032526672,32.33931824095758
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
6,5,0,0,5,5,0,0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0
42500,42369,32839,3618,5912,2182,3367,363,77.50713965399231,8.539262196417193,13.953598149590503,5.1499917392433145,8.31720446140609,5.244000320821689,3.0034336341359866,86.43879521777222
26808,26632,21751,1671,3210,458,2671,81,81.67242415139681,6.274406728747372,12.053169119855813,1.7197356563532593,6.097467772687213,2.616424796647319,0.0,91.28610743066547
18992,18948,15998,993,1957,389,1532,36,84.43107451973823,5.240658644711843,10.328266835549925,2.052987122651467,4.478172941318782,0.0,0.0,95.52182705868123
92,90,0,0,90,55,5,30,0.0,0.0,100.0,61.111111111111114,0.0,0.0,61.111111111111114,100.0
288,256,0,13,243,147,68,28,0.0,5.078125,94.921875,57.421875,5.078125,62.73796695402299,53.97359913793103,32.183908045977006
530,380,4,54,322,57,144,121,1.0526315789473684,14.210526315789474,84.73684210526316,15.0,14.210526315789474,56.82986536107712,13.837209302325581,28.95960832313341
50919,50822,41770,3884,5168,947,3857,364,82.18881586714414,7.64235960804376,10.16882452481209,1.8633662587068591,7.267013894886905,2.8001955244169885,0.3422283685448677,89.9327905806961
1410,1399,1253,16,130,40,82,8,89.5639742673338,1.143674052894925,9.292351679771265,2.8591851322373123,1.143674052894925,0.6394509914723461,0.4993031263376073,98.21687495563273
23771,23741,20643,957,2141,409,1695,37,86.95084453055895,4.031001221515521,9.01815424792553,1.7227580978054842,3.9293752052553588,0.37994286581170833,0.0,95.69068192893293
3680,3643,2191,371,1081,337,730,14,60.14273950041175,10.183914356299754,29.673346143288498,9.25061762283832,10.183914356299754,18.011270844849562,4.7510767596610926,71.80481479885069
4923,4718,3019,374,1325,129,1148,48,63.98897838066978,7.927087749046206,28.083933870284017,2.7342094107672743,7.864273678694447,16.714587136615677,0.34727473740044035,75.42113918468988
3670,3568,3017,135,416,92,307,17,84.55717488789237,3.7836322869955157,11.659192825112108,2.57847533632287,3.7836322869955157,0.8736566655111098,0.0,95.34271104749337
2105,1769,1366,6,397,79,308,10,77.21876766534766,0.3391746749576032,22.442057659694743,4.465799886941775,0.3391746749576032,8.371705900900773,0.0,91.28911942414163
1487,1439,1282,1,156,10,145,1,89.08964558721334,0.06949270326615706,10.8408617095205,0.6949270326615705,0.0,1.6100924787512696,0.0,98.38990752124873
1312,1205,813,0,392,312,78,2,67.4688796680498,0.0,32.531120331950206,25.892116182572614,0.0,20.204463937497202,21.115536829722075,79.7955360625028
1880,1851,1552,0,299,150,139,10,83.84656942193409,0.0,16.15343057806591,8.103727714748784,0.0,2.7631171877525222,5.254724865745935,97.23688281224747
4639,4364,3603,10,751,183,562,6,82.56186984417965,0.229147571035747,17.2089825847846,4.193400549954171,0.229147571035747,5.947251615024433,2.0036195280563605,93.82360081393982
1819,1715,1461,0,254,105,146,3,85.18950437317784,0.0,14.810495626822158,6.122448979591836,0.0,6.477162293488824,3.543083900226757,93.52283770651118
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
5838,5773,5201,15,557,114,435,8,90.09180668629828,0.2598302442404296,9.648363069461285,1.974709856227265,0.2598302442404296,1.5812271734136392,0.296312455036144,98.15894258234593
11053,10879,9994,29,856,180,620,56,91.86506112694181,0.26656861843919477,7.86837025461899,1.6545638385881056,0.20060555775317895,1.1401380646453756,0.0,98.65925637760145
1520,1253,839,19,395,84,304,7,66.95929768555467,1.5163607342378291,31.5243415802075,6.70391061452514,1.5163607342378291,15.490586305945897,3.047089236184774,82.99305295981628
3241,3186,2756,0,430,43,384,3,86.50345260514752,0.0,13.49654739485248,1.349654739485248,0.0,0.0,0.0,100.0
3511,3419,2947,9,463,180,273,10,86.19479379935653,0.26323486399532026,13.541971336648142,5.264697279906406,0.26323486399532026,0.0,1.3457783609874867,99.73676513600468
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
18255,18161,16526,101,1534,332,1089,113,90.99719178459335,0.5561367766092176,8.446671438797424,1.8280931666758438,0.10883456805456287,0.9543594455069568,0.06684072049189083,98.93680598643849
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3057,2442,1275,21,1146,155,983,8,52.21130221130221,0.85995085995086,46.92874692874693,6.347256347256347,0.85995085995086,30.303851356482937,3.005568795042479,68.8361977835662
4804,4688,4132,8,548,138,392,18,88.13993174061433,0.17064846416382254,11.689419795221843,2.9436860068259385,0.17064846416382254,0.7479439682498334,0.31433910266987386,99.08140756758634
3502,3438,2985,35,418,55,332,31,86.82373472949389,1.0180337405468296,12.158231529959279,1.5997673065735893,0.9095738706986735,1.8545438943844434,0.0,97.23588223491689
3,3,0,0,3,3,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
1025,1020,950,0,70,2,67,1,93.13725490196079,0.0,6.862745098039215,0.19607843137254902,0.0,1.2130275839149212,0.0,98.78697241608508
8229,8200,7286,9,905,123,621,161,88.85365853658537,0.10975609756097561,11.036585365853659,1.5,0.10975609756097561,2.6318391562294003,0.0,97.25840474620962
8963,8846,7568,3,1275,160,351,764,85.55279222247343,0.033913633280578795,14.413294144245986,1.8087271082975356,0.033913633280578795,6.7840898784543535,0.0,93.18199648826507
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
20,17,0,0,17,17,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
8822,8688,7934,24,730,206,516,8,91.32136279926335,0.27624309392265195,8.402394106813997,2.371086556169429,0.24920144979068876,0.2899008672250307,0.0,99.46089768298428
2745,2680,2285,26,369,99,252,18,85.26119402985074,0.9701492537313433,13.76865671641791,3.6940298507462686,0.02496966961036029,2.9936094574387013,1.2365629320317124,96.98142087295093
4005,3901,3431,75,395,72,312,11,87.95180722891567,1.922583952832607,10.125608818251731,1.8456805947193027,1.75729469663426,0.042964190152558146,0.0,98.19974111321318
577,538,432,11,95,16,78,1,80.29739776951673,2.0446096654275094,17.65799256505576,2.973977695167286,2.0446096654275094,6.18667086929516,0.0,91.76871946527733
2176,1924,1042,125,757,224,529,4,54.15800415800416,6.496881496881497,39.34511434511435,11.642411642411643,6.496881496881497,27.1295454828389,7.4507948759445775,66.3735730202796
2553,2519,2130,130,259,84,148,27,84.55736403334656,5.160778086542279,10.281857880111156,3.33465660976578,5.160778086542279,0.1995533533621856,0.2482368566793598,94.63966856009553
2008,1956,1652,27,277,109,147,21,84.45807770961146,1.3803680981595092,14.161554192229039,5.572597137014315,1.3803680981595092,0.0,1.2673133796757625,98.61963190184049
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3816,3769,3376,30,363,139,160,64,89.57283098965243,0.7959671000265323,9.63120191032104,3.6879808967895995,0.37103792155627735,2.407405876326706,1.6341565341833677,97.22155620211701
8207,7927,6925,70,932,294,624,14,87.35965686892898,0.8830579033682352,11.757285227702788,3.7088431941465876,0.8830579033682352,3.16668120085715,1.4269639995157153,95.95026089577462
5870,5611,4762,59,790,410,333,47,84.86900730707539,1.0515059704152558,14.079486722509357,7.307075387631438,1.0515059704152558,3.34650242931564,3.991194061278908,95.6019916002691
2080,1848,678,77,1093,805,286,2,36.688311688311686,4.166666666666667,59.14502164502164,43.56060606060606,4.166666666666667,35.30282610471289,30.01000571755289,60.53050722862044
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3591,3467,2800,142,525,174,336,15,80.76146524372656,4.095760023074704,15.142774733198731,5.018748197288723,4.095760023074704,3.703186044252716,1.6768458836640439,92.20105393267258
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
