Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1800,1786,1467,207,112,21,90,1,82.13885778275476,11.590145576707727,6.270996640537514,1.1758118701007838,11.40931375030628,0.0,0.0,88.59068624969372
3802,3690,2599,263,828,591,232,5,70.43360433604336,7.127371273712737,22.4390243902439,16.016260162601625,7.049062738082354,11.319212330729414,13.667004093690114,81.63172493118823
1948,1945,1836,7,102,11,90,1,94.39588688946016,0.35989717223650386,5.244215938303342,0.5655526992287918,0.35989717223650386,0.0,0.0,99.6401028277635
4498,4457,3198,505,754,540,203,11,71.75229975319722,11.330491361902626,16.917208884900155,12.115772941440431,11.330491361902626,3.6803939934834027,8.909981834925436,84.98911464461398
1903,1900,1548,186,166,7,155,4,81.47368421052632,9.789473684210526,8.736842105263158,0.3684210526315789,9.473517918017793,1.6278373659266645,0.0,88.89864471605554
2794,2779,2391,49,339,37,293,9,86.03814321698452,1.7632241813602014,12.198632601655271,1.3314141777617847,1.6466740648100848,0.8932712962939657,0.0,97.46005463889595
16,15,0,0,15,15,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
30,20,0,0,20,2,18,0,0.0,0.0,100.0,10.0,0.0,100.0,10.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
4815,4240,2311,107,1822,913,901,8,54.50471698113208,2.5235849056603774,42.971698113207545,21.53301886792453,2.2846362796149773,32.09953562814184,18.426686729334325,65.61582809224319
3438,2956,2639,175,142,33,107,2,89.27604871447903,5.920162381596753,4.803788903924222,1.1163734776725305,5.764156141347143,0.0,0.33634227642448056,94.23584385865286
1458,1457,1303,52,102,4,92,6,89.43033630748113,3.568977350720659,7.0006863417982155,0.27453671928620454,3.568977350720659,0.0,0.0,96.43102264927934
5764,5762,5193,118,451,43,404,4,90.1249566122874,2.04790003471017,7.8271433530024295,0.746268656716418,1.965798228470433,0.0,0.0,98.03420177152957
