peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_2,1475,1287,1150,21,116,1,115,0,89.35508935508936,1.6317016317016315,9.013209013209012,0.0777000777000777,1.450869805300185,0.6949449987424661,0.0,97.85418519595734
peg_3,2687,2598,2286,22,290,52,236,2,87.99076212471131,0.8468052347959969,11.162432640492687,2.001539645881447,0.7684966991656133,0.042620580978200096,0.0,99.18888271985618
peg_4,1536,1528,1335,28,165,13,152,0,87.36910994764398,1.8324607329842928,10.798429319371728,0.8507853403141361,1.8324607329842928,0.0,0.0,98.16753926701571
peg_5,3994,3957,3311,13,633,183,441,9,83.67450088450846,0.328531715946424,15.99696739954511,4.624715693707354,0.328531715946424,2.760152508128357,1.4189245871923593,96.91131577592522
peg_6,1833,1832,1644,2,186,44,134,8,89.73799126637554,0.1091703056768559,10.152838427947598,2.4017467248908297,0.0,3.0438336886111053,1.2959015432162642,96.9561663113889
peg_7,3597,3591,3313,22,256,24,231,1,92.2584238373712,0.6126427179058758,7.128933444722918,0.6683375104427736,0.4960926013557593,0.0,0.0,99.50390739864424
peg_8,161,126,0,0,126,126,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_11,1465,1439,1075,3,361,184,172,5,74.70465601111883,0.2084781097984711,25.086865879082698,12.786657400972896,0.0,14.214703394016986,9.680325262382693,85.785296605983
peg_12,2001,1998,1682,14,302,20,280,2,84.18418418418419,0.7007007007007007,15.115115115115117,1.001001001001001,0.5446944604510907,0.13851605115255872,0.22096979975295117,99.31678948839635
peg_13,1454,1454,1237,20,197,3,190,4,85.07565337001375,1.375515818431912,13.548830811554334,0.2063273727647868,1.375515818431912,3.0677311551969453,0.0,95.55675302637114
peg_14,5383,5381,4603,52,726,130,595,1,85.54172086972682,0.9663631295298272,13.491916000743355,2.415907823824568,0.88426132329009,2.2439685458993495,0.0,96.87177013081056
peg_15,10281,10150,8535,43,1572,454,1111,7,84.08866995073892,0.4236453201970443,15.48768472906404,4.472906403940887,0.2805155492046779,2.3197457977663287,0.4175628924905057,97.39973865302899
peg_16,394,393,358,0,35,18,17,0,91.0941475826972,0.0,8.9058524173028,4.580152671755725,0.0,0.26031927609242445,2.2746771674329582,99.73968072390758
peg_17,612,582,438,0,144,22,122,0,75.25773195876289,0.0,24.742268041237114,3.7800687285223367,0.0,4.452412968773345,0.0,95.54758703122666
peg_18,717,671,150,1,520,102,418,0,22.35469448584203,0.1490312965722801,77.4962742175857,15.201192250372578,0.1490312965722801,52.819086269235626,6.592870873041159,47.03188243419209
peg_19,675,659,504,3,152,61,91,0,76.47951441578148,0.4552352048558422,23.06525037936267,9.256449165402124,0.4552352048558422,2.825113158093373,3.081492047048779,96.71965163705079
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_21,101,91,0,0,91,0,0,91,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_29,203,181,0,0,181,174,0,7,0.0,0.0,100.0,96.13259668508287,0.0,0.0,53.27545382794003,100.0
peg_30,369,71,0,3,68,0,66,2,0.0,4.225352112676056,95.77464788732394,0.0,3.4677763551002982,72.28979940247545,0.0,24.24242424242425
peg_31,46,10,0,0,10,0,9,1,0.0,0.0,100.0,0.0,0.0,79.01234567901236,0.0,20.987654320987644
peg_32,172,38,0,0,38,4,33,1,0.0,0.0,100.0,10.526315789473683,0.0,77.87610619469027,5.216581276199347,22.123893805309734
peg_33,57,18,2,7,9,0,9,0,11.11111111111111,38.888888888888886,50.0,0.0,38.888888888888886,28.16091954022988,0.0,32.95019157088123
peg_34,1914,1906,1742,7,157,22,134,1,91.395592864638,0.3672612801678909,8.237145855194123,1.154249737670514,0.3672612801678909,0.0,0.0,99.6327387198321
peg_35,2060,2043,1731,28,284,104,179,1,84.72834067547724,1.3705335291238374,13.901125795398924,5.090553108174253,1.1175824330024209,2.6869605340161247,1.8865058906363106,96.19545703298145
peg_36,2305,1964,1481,22,461,151,283,27,75.40733197556008,1.120162932790224,23.47250509164969,7.688391038696538,0.3093521219794132,11.760793379937978,4.715418065723565,87.9298544980826
peg_37,99,35,0,0,35,16,18,1,0.0,0.0,100.0,45.71428571428572,0.0,60.37735849056604,41.940700808625344,39.62264150943396
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_39,81,55,1,1,53,32,9,12,1.818181818181818,1.818181818181818,96.36363636363636,58.18181818181818,1.818181818181818,64.93506493506493,52.467532467532465,33.24675324675326
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_42,13818,13773,12370,155,1248,99,1108,41,89.8134030349234,1.1253902562985552,9.061206708778045,0.7187976475713352,0.9033325212874523,0.3516088800092305,0.0,98.74505859870332
peg_43,10974,10851,9988,45,818,259,539,20,92.04681596166252,0.4147083218136577,7.5384757165238225,2.386876785549719,0.2377693657534985,0.0,0.3815686168679142,99.7622306342465
peg_44,6316,6305,5417,72,816,135,655,26,85.91593973037271,1.141950832672482,12.942109436954798,2.141157811260904,0.37946512927942067,2.0766881636036736,0.0,97.5438467071169
peg_45,8,8,0,0,8,5,0,3,0.0,0.0,100.0,62.5,0.0,0.0,62.5,100.0
peg_46,113,102,0,0,102,45,56,1,0.0,0.0,100.0,44.11764705882353,0.0,67.816091954023,40.66937119675456,32.183908045977006
peg_47,68,17,1,2,14,1,8,5,5.882352941176471,11.764705882352942,82.3529411764706,5.882352941176471,11.764705882352942,54.44596443228455,4.719562243502052,33.7893296853625
peg_48,19741,19634,18141,112,1381,407,927,47,92.39584394417848,0.5704390343282062,7.033717021493328,2.072934705103392,0.1950933211713512,0.0,0.5517968149414008,99.80490667882864
peg_49,1626,1623,1468,25,130,32,93,5,90.4497843499692,1.5403573629081948,8.009858287122613,1.9716574245224887,1.5403573629081948,0.0,0.0,98.4596426370918
peg_50,12236,12181,11267,21,893,159,722,12,92.49651095969132,0.1723996387817092,7.331089401526968,1.3053115507757984,0.07077362252154659,0.0,0.0,99.92922637747846
peg_51,1734,1720,1321,11,388,124,260,4,76.80232558139535,0.6395348837209303,22.55813953488372,7.209302325581396,0.6395348837209303,10.896064236444783,2.7097614624041686,88.46440087983429
peg_52,2373,2302,1737,11,554,55,498,1,75.45612510860121,0.4778453518679409,24.06602953953084,2.3892267593397047,0.4150312815161822,12.6966828058625,0.002292085972870783,86.88828591262131
peg_53,2177,2150,1916,1,233,85,146,2,89.11627906976744,0.0465116279069767,10.83720930232558,3.953488372093023,0.0465116279069767,0.05167314272458157,1.0856579481528734,99.90181522936844
peg_54,379,337,273,0,64,10,53,1,81.00890207715133,0.0,18.991097922848663,2.967359050445104,0.0,4.920746164054693,0.0,95.07925383594531
