peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_2,1162,1152,965,50,137,49,87,1,83.76736111111111,4.340277777777778,11.89236111111111,4.253472222222222,4.159445951376331,3.5740970966445644,2.806817611010649,92.26645695197911
peg_3,2076,2068,1471,180,417,306,109,2,71.13152804642166,8.704061895551257,20.16441005802708,14.796905222437138,8.625753359920873,9.044597998512593,12.447649153525626,82.32964864156654
peg_4,736,735,626,6,103,16,86,1,85.17006802721089,0.8163265306122449,14.013605442176871,2.17687074829932,0.8163265306122449,1.9214749239427054,0.0,97.26219854544505
peg_5,3151,3140,2134,426,580,89,490,1,67.96178343949045,13.56687898089172,18.471337579617835,2.8343949044585988,13.56687898089172,5.234522688201082,0.0,81.1985983309072
peg_6,1102,1099,839,152,108,19,83,6,76.34212920837125,13.830755232029118,9.827115559599635,1.7288444040036397,13.514799465836385,2.718110820263142,0.6229992223290741,83.76708971390048
peg_7,2942,2937,2267,58,612,96,512,4,77.18760640108955,1.9748042219952333,20.83758937691522,3.268641470888662,1.8582541054451167,9.532228071553913,1.4038396060867973,88.60951782300097
peg_8,15,15,0,0,15,15,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_11,1021,1012,863,65,84,6,78,0,85.27667984189723,6.4229249011857705,8.300395256916996,0.5928853754940712,6.18397627514037,0.0,0.0,93.81602372485963
peg_12,1303,1282,1101,79,102,29,71,2,85.8814352574103,6.162246489859594,7.956318252730109,2.2620904836193447,6.006240249609984,0.0,1.4820592823712948,93.99375975039001
peg_13,965,964,897,22,45,5,39,1,93.04979253112032,2.282157676348548,4.668049792531121,0.5186721991701245,2.282157676348548,0.0,0.0,97.71784232365145
peg_14,5632,5621,4729,222,670,258,411,1,84.1309375555951,3.949475182351895,11.919587262053016,4.5899306173278775,3.8673733761121576,0.6716398072090097,1.3058583677383866,95.46098681667883
peg_15,8083,8058,6768,517,773,15,752,6,83.99106478034251,6.415984115165053,9.59295110449243,0.1861504095309009,6.272854344172687,0.0,0.0,93.72714565582731
peg_16,58,57,46,1,10,0,10,0,80.70175438596492,1.7543859649122806,17.54385964912281,0.0,1.7543859649122806,8.898326507912433,0.0,89.34728752717528
peg_17,791,768,372,22,374,222,151,1,48.4375,2.864583333333333,48.69791666666666,28.90625,2.864583333333333,28.408061594202888,18.140204451345756,68.72735507246378
peg_18,634,448,134,17,297,92,162,43,29.910714285714285,3.794642857142857,66.29464285714286,20.535714285714285,3.794642857142857,41.617454908792794,11.927392908382865,54.58790223406435
peg_19,493,449,365,11,73,6,67,0,81.29175946547885,2.4498886414253898,16.258351893095767,1.33630289532294,2.4498886414253898,0.0,0.0,97.55011135857461
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_21,4,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_24,7,5,0,0,5,5,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_29,693,158,0,0,158,109,0,49,0.0,0.0,100.0,68.9873417721519,0.0,0.0,26.130198915009046,100.0
peg_30,166,121,0,16,105,50,9,46,0.0,13.223140495867767,86.77685950413223,41.32231404958678,12.46556473829201,63.29201101928375,35.26170798898072,24.24242424242425
peg_31,67,63,1,29,33,3,19,11,1.5873015873015872,46.03174603174603,52.38095238095238,4.761904761904762,46.03174603174603,31.393298059964728,2.2927689594356258,22.57495590828924
peg_32,51,35,2,11,22,5,8,9,5.714285714285714,31.428571428571427,62.85714285714285,14.285714285714286,31.428571428571427,40.73324905183311,8.975979772439949,27.838179519595457
peg_33,37,22,0,12,10,1,5,4,0.0,54.54545454545455,45.45454545454545,4.545454545454546,54.54545454545455,23.615464994775333,0.0,21.839080459770116
peg_34,1065,1046,869,46,131,26,99,6,83.07839388145315,4.397705544933078,12.523900573613767,2.48565965583174,4.397705544933078,2.686565174698199,0.1618796403398739,92.91572928036872
peg_35,1964,1948,956,171,821,493,323,5,49.07597535934291,8.7782340862423,42.14579055441479,25.308008213552363,8.525282990120884,30.93162529303199,22.10396099601442,60.54309171684713
peg_36,1807,1332,780,168,384,32,349,3,58.55855855855856,12.612612612612612,28.82882882882883,2.4024024024024024,11.801801801801801,17.117117117117118,0.0,71.08108108108108
peg_37,1248,198,1,5,192,84,92,16,0.5050505050505051,2.525252525252525,96.96969696969695,42.42424242424242,0.6384600724223364,57.34705546026299,38.650657518582044,42.014484467314674
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_39,302,276,1,10,265,69,110,86,0.3623188405797101,3.6231884057971016,96.0144927536232,25.0,3.6231884057971016,64.58592132505177,19.285714285714285,31.790890269151134
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_42,20060,20001,15569,1425,3007,1784,1156,67,77.84110794460277,7.12464376781161,15.03424828758562,8.919554022298884,6.902586032800507,6.324650458816805,6.772995917191556,86.7727635083827
peg_43,11887,11855,10037,637,1181,119,1038,24,84.66469843947701,5.373260227752003,9.962041332770983,1.0037958667229017,5.196321271691844,0.5252970095624896,0.0,94.27838171874566
peg_44,9322,9301,7948,516,837,147,677,13,85.45317707773357,5.547790560154822,8.9990323621116,1.5804752177185248,4.78530485676176,0.0,0.0,95.21469514323825
peg_45,50,49,0,0,49,47,2,0,0.0,0.0,100.0,95.91836734693878,0.0,0.0,95.91836734693878,100.0
peg_46,209,186,0,9,177,113,47,17,0.0,4.838709677419355,95.16129032258064,60.75268817204301,4.838709677419355,62.97738227660363,57.30441230997404,32.18390804597702
peg_47,245,205,3,28,174,34,38,102,1.4634146341463414,13.658536585365852,84.8780487804878,16.585365853658537,13.658536585365852,56.971072036301756,15.422575155984118,29.370391378332386
peg_48,25591,25539,20575,2461,2503,519,1802,182,80.56306041740083,9.636242609342574,9.800696973256589,2.032186068366028,9.260896896185718,2.4320679728614873,0.5110481782040368,88.3070351309528
peg_49,659,657,578,3,76,31,38,7,87.97564687975647,0.45662100456621,11.56773211567732,4.718417047184171,0.45662100456621,2.9148314273784006,2.358535041284466,96.6285475680554
peg_50,9677,9654,8591,400,663,156,484,23,88.98902009529729,4.143360265175057,6.867619639527657,1.615910503418272,4.041734248914895,0.0,0.0,95.95826575108511
peg_51,1559,1547,1071,169,307,24,277,6,69.23076923076923,10.92436974789916,19.84486102133161,1.5513897866839044,10.92436974789916,8.182785722892675,0.0,80.89284452920816
peg_52,2127,1965,1185,151,629,19,570,40,60.30534351145038,7.684478371501272,32.01017811704835,0.9669211195928752,7.621664301149513,20.640831383380004,0.0,71.73750431547049
peg_53,1782,1704,1487,47,170,66,95,9,87.26525821596245,2.7582159624413145,9.976525821596244,3.8732394366197194,2.7582159624413145,0.0,1.0054090126795696,97.24178403755869
