peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_1,39,2,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_2,1458,1431,1216,23,192,3,189,0,84.97554157931516,1.607267645003494,13.41719077568134,0.2096436058700209,1.4264358186020474,5.098926761214793,0.0,93.47463742018316
peg_3,3009,2690,2286,147,257,16,239,2,84.9814126394052,5.4646840148698885,9.553903345724908,0.5947955390334573,5.386375479239505,0.0,0.0,94.6136245207605
peg_4,1702,1698,1560,18,120,35,84,1,91.87279151943464,1.060070671378092,7.067137809187279,2.061248527679623,1.060070671378092,0.0,0.0,98.93992932862191
peg_5,4189,4145,3170,214,761,287,473,1,76.47768395657418,5.162846803377564,18.35946924004825,6.924004825090471,5.162846803377564,5.122654348631496,3.718213718575476,89.71449884799094
peg_6,1693,1684,1496,118,70,13,56,1,88.83610451306413,7.007125890736342,4.156769596199525,0.7719714964370546,6.691170124543609,0.0,0.0,93.3088298754564
peg_7,3931,3909,3204,115,590,79,510,1,81.96469685341519,2.9419288820670246,15.09337426451778,2.020977232028652,2.8253787655169083,3.7880129591564753,0.15617536722678738,93.38660827532662
peg_8,124,122,0,0,122,122,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_11,1723,1716,1316,51,349,138,201,10,76.68997668997669,2.972027972027972,20.337995337995338,8.041958041958042,2.733079345982572,9.465832852929626,4.935625903367839,87.8010878010878
peg_12,1805,1803,1438,84,281,61,220,0,79.75596228508041,4.658901830282862,15.585135884636715,3.3832501386577927,4.502895590033252,0.608536820674157,2.6032189374097428,94.88856758929259
peg_13,1329,1328,1198,29,101,8,89,4,90.21084337349396,2.183734939759036,7.605421686746988,0.6024096385542169,2.183734939759036,0.0,0.0,97.81626506024097
peg_14,5474,5449,4720,218,511,98,412,1,86.62139842172876,4.000734079647642,9.3778674986236,1.7984951367223343,3.9186322734079044,0.0,0.0,96.08136772659209
peg_15,9736,9720,7816,231,1673,759,896,18,80.41152263374485,2.376543209876543,17.2119341563786,7.808641975308642,2.2334134388841766,4.04399522508089,3.7532984638582603,93.72259133603494
peg_16,204,204,180,2,22,12,10,0,88.23529411764706,0.9803921568627452,10.784313725490197,5.882352941176471,0.9803921568627452,2.1387805842798215,3.5768774368537044,96.88082725885744
peg_17,724,665,456,8,201,31,170,0,68.57142857142857,1.2030075187969924,30.22556390977444,4.661654135338346,1.2030075187969924,9.93570883731067,0.0,88.86128364389234
peg_18,981,897,188,6,703,2,700,1,20.958751393534,0.6688963210702341,78.37235228539576,0.2229654403567447,0.6688963210702341,53.695164337045696,0.0,45.63593934188407
peg_19,916,856,531,5,320,191,129,0,62.03271028037384,0.5841121495327103,37.38317757009346,22.31308411214953,0.5841121495327103,17.14304034882416,16.138126993796185,82.27284750164313
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_21,147,134,0,0,134,0,0,134,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_24,2,2,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_29,725,523,0,0,523,245,0,278,0.0,0.0,100.0,46.8451242829828,0.0,0.0,3.987981425839955,100.0
peg_30,251,115,3,8,104,37,50,17,2.608695652173913,6.956521739130435,90.43478260869566,32.17391304347826,6.198945981554677,66.94993412384717,26.113306982872196,26.851119894598156
peg_31,202,88,0,19,69,12,42,15,0.0,21.59090909090909,78.4090909090909,13.636363636363637,21.59090909090909,57.421436588103255,11.1672278338945,20.98765432098766
peg_32,154,39,1,1,37,4,21,12,2.5641025641025643,2.5641025641025643,94.87179487179488,10.256410256410255,2.5641025641025643,72.74790106648514,4.946675743135919,24.68799636941229
peg_33,62,53,1,8,44,2,35,7,1.8867924528301887,15.09433962264151,83.01886792452831,3.7735849056603774,15.09433962264151,61.17978746475819,0.0,23.725872912600295
peg_34,2634,2620,2284,89,247,50,192,5,87.17557251908397,3.3969465648854964,9.427480916030534,1.9083969465648856,3.3969465648854964,0.0,0.0,96.6030534351145
peg_35,2232,2194,1795,149,250,57,189,4,81.81403828623519,6.7912488605287145,11.3947128532361,2.5979945305378305,6.538297764407298,0.18054759185330127,0.0,93.2811546437394
peg_36,2891,2504,2003,202,299,35,242,22,79.99201277955271,8.06709265175719,11.940894568690096,1.3977635782747604,7.256281840946379,0.22918285697838314,0.0,92.51453530207525
peg_37,581,235,0,9,226,152,64,10,0.0,3.8297872340425534,96.17021276595744,64.68085106382979,1.9429947812123647,56.54757125652348,60.90726615816941,41.509433962264154
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_39,249,231,3,20,208,49,100,59,1.2987012987012987,8.658008658008658,90.04329004329004,21.21212121212121,8.658008658008658,58.61471861471861,15.497835497835496,32.727272727272734
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_41,6,6,0,0,6,3,3,0,0.0,0.0,100.0,50.0,0.0,0.0,50.0,100.0
peg_42,20825,20757,17784,785,2188,468,1525,195,85.67712097123862,3.7818567230331936,10.541022305728188,2.25466107819049,3.559798988022091,1.8314244769593735,0.10810297308316219,94.60877653501854
