peg_id,Amplicon,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
peg_0,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_0,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_2,Reference,406,399,392,373,19,0,2,9,13,2,4,8,0,0,5,0
peg_2,HDR,406,399,6,6,0,0,0,0,0,0,0,0,0,0,0,0
peg_3,Reference,992,984,915,827,88,0,0,7,81,0,7,81,0,0,0,0
peg_3,HDR,992,984,67,64,3,0,1,0,2,1,0,2,0,0,0,0
peg_4,Reference,519,517,514,491,23,0,1,5,21,1,1,17,0,0,4,0
peg_4,HDR,519,517,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_5,Reference,802,785,673,603,70,0,4,7,61,2,5,61,2,0,0,0
peg_5,HDR,802,785,111,102,9,0,0,1,8,0,1,8,0,0,0,0
peg_6,Reference,458,457,422,390,32,0,0,0,32,0,0,32,0,0,0,0
peg_6,HDR,458,457,33,33,0,0,0,0,0,0,0,0,0,0,0,0
peg_7,Reference,923,914,898,810,88,0,7,22,66,7,15,59,0,0,7,0
peg_7,HDR,923,914,9,7,2,0,0,0,2,0,0,2,0,0,0,0
peg_8,Reference,9,8,8,0,8,0,0,8,1,0,7,0,0,0,1,0
peg_8,HDR,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_11,Reference,969,446,415,349,66,0,11,18,37,11,18,37,0,0,0,0
peg_11,HDR,969,446,28,27,1,0,0,0,1,0,0,1,0,0,0,0
peg_12,Reference,1291,814,784,733,51,0,10,5,36,10,5,36,0,0,0,0
peg_12,HDR,1291,814,29,26,3,0,1,1,1,1,1,1,0,0,0,0
peg_13,Reference,206,206,192,180,12,0,0,2,10,0,2,10,0,0,0,0
peg_13,HDR,206,206,12,12,0,0,0,0,0,0,0,0,0,0,0,0
peg_14,Reference,2388,2387,2322,2143,179,0,18,15,150,15,14,147,0,2,0,1
peg_14,HDR,2388,2387,64,64,0,0,0,0,0,0,0,0,0,0,0,0
peg_15,Reference,8219,3057,2907,2743,164,0,26,19,122,24,17,120,1,1,1,0
peg_15,HDR,8219,3057,142,127,15,0,0,0,15,0,0,15,0,0,0,0
peg_16,Reference,87,87,80,73,7,0,0,3,4,0,3,4,0,0,0,0
peg_16,HDR,87,87,7,7,0,0,0,0,0,0,0,0,0,0,0,0
peg_17,Reference,168,164,157,132,25,0,1,9,16,1,8,15,0,0,1,0
peg_17,HDR,168,164,7,2,5,0,0,0,5,0,0,5,0,0,0,0
peg_18,Reference,475,400,392,76,316,0,0,3,313,0,3,313,0,0,0,0
peg_18,HDR,475,400,8,4,4,0,0,0,4,0,0,4,0,0,0,0
peg_19,Reference,137,133,129,69,60,0,1,5,57,0,3,54,0,1,2,0
peg_19,HDR,137,133,3,1,2,0,0,0,2,0,0,2,0,0,0,0
peg_20,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,Reference,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,HDR,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,Reference,4,3,3,0,3,0,0,3,3,0,0,0,0,0,3,0
peg_24,HDR,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,Reference,169,24,11,0,11,0,0,11,0,0,11,0,0,0,0,0
peg_29,HDR,169,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_30,Reference,3836,413,40,1,39,0,14,32,21,1,11,1,6,5,13,2
peg_30,HDR,3836,413,59,28,31,0,17,22,22,4,4,5,1,0,5,12
peg_31,Reference,527,164,10,4,6,0,0,4,4,0,2,2,0,0,2,0
peg_31,HDR,527,164,29,15,14,0,6,8,11,3,0,1,0,2,7,1
peg_32,Reference,198,101,40,1,39,0,1,34,7,0,32,4,0,1,2,0
peg_32,HDR,198,101,1,0,1,0,1,0,0,1,0,0,0,0,0,0
peg_33,Reference,99,66,3,0,3,0,0,1,2,0,1,2,0,0,0,0
peg_33,HDR,99,66,10,9,1,0,0,1,0,0,1,0,0,0,0,0
peg_34,Reference,327,326,324,181,143,0,0,6,137,0,6,137,0,0,0,0
peg_34,HDR,327,326,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_35,Reference,681,635,598,380,218,0,0,93,128,0,90,125,0,0,3,0
peg_35,HDR,681,635,24,23,1,0,1,0,0,1,0,0,0,0,0,0
peg_36,Reference,1364,583,511,365,146,0,0,16,132,0,14,130,0,0,2,0
peg_36,HDR,1364,583,69,50,19,0,2,0,17,2,0,17,0,0,0,0
peg_37,Reference,2537,290,104,0,104,0,3,87,25,0,79,16,0,1,6,2
peg_37,HDR,2537,290,46,6,40,0,7,16,34,6,0,17,0,1,16,0
peg_38,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_38,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_39,Reference,788,437,206,0,206,0,1,190,20,0,186,15,0,1,4,0
peg_39,HDR,788,437,82,18,64,0,5,8,60,4,0,51,0,1,8,0
peg_40,Reference,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_40,HDR,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_42,Reference,10199,10176,8992,8188,804,0,70,47,690,68,46,687,0,2,1,0
peg_42,HDR,10199,10176,1161,1073,88,0,66,6,20,62,5,17,1,3,0,0
peg_43,Reference,4667,4605,4385,3974,411,0,5,27,385,2,24,382,0,0,0,3
peg_43,HDR,4667,4605,190,185,5,0,0,1,4,0,1,4,0,0,0,0
peg_44,Reference,1926,1911,1874,1530,344,0,0,100,246,0,98,244,0,0,2,0
peg_44,HDR,1926,1911,33,32,1,0,0,0,1,0,0,1,0,0,0,0
peg_45,Reference,7,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0
peg_45,HDR,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_46,Reference,98,59,5,0,5,0,0,4,2,0,3,1,0,0,1,0
peg_46,HDR,98,59,7,4,3,0,0,3,3,0,0,0,0,0,3,0
peg_47,Reference,1137,522,36,0,36,0,9,14,32,0,4,19,0,3,4,6
peg_47,HDR,1137,522,37,8,29,0,19,4,25,2,2,7,0,16,1,1
peg_48,Reference,8419,8285,7818,6907,911,0,6,42,866,6,39,863,0,0,3,0
peg_48,HDR,8419,8285,439,427,12,0,4,2,8,4,0,6,0,0,2,0
peg_49,Reference,340,337,335,269,66,0,0,15,53,0,13,51,0,0,2,0
peg_49,HDR,340,337,2,1,1,0,0,0,1,0,0,1,0,0,0,0
peg_50,Reference,3797,3789,3726,3177,549,0,344,19,195,335,18,187,1,8,0,0
peg_50,HDR,3797,3789,41,28,13,0,1,0,12,1,0,12,0,0,0,0
peg_51,Reference,1669,1648,1543,1303,240,0,30,81,133,30,77,129,0,0,4,0
peg_51,HDR,1669,1648,79,75,4,0,0,0,4,0,0,4,0,0,0,0
peg_52,Reference,508,490,478,272,206,0,0,15,193,0,13,191,0,0,2,0
peg_52,HDR,508,490,11,9,2,0,0,0,2,0,0,2,0,0,0,0
peg_53,Reference,508,496,486,392,94,0,1,6,89,1,4,87,0,0,2,0
peg_53,HDR,508,496,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_54,Reference,242,206,201,177,24,0,1,6,18,0,6,17,0,1,0,0
peg_54,HDR,242,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_55,Reference,124,117,99,93,6,0,0,0,6,0,0,6,0,0,0,0
peg_55,HDR,124,117,16,16,0,0,0,0,0,0,0,0,0,0,0,0
peg_56,Reference,116,92,92,80,12,0,2,0,10,2,0,10,0,0,0,0
peg_56,HDR,116,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_57,Reference,172,167,167,147,20,0,0,4,17,0,3,16,0,0,1,0
peg_57,HDR,172,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_58,Reference,570,457,456,418,38,0,1,1,36,1,1,36,0,0,0,0
peg_58,HDR,570,457,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_59,Reference,88,81,79,69,10,0,0,4,6,0,4,6,0,0,0,0
peg_59,HDR,88,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_61,Reference,175,166,166,152,14,0,0,3,11,0,3,11,0,0,0,0
peg_61,HDR,175,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_62,Reference,618,590,579,494,85,0,2,70,15,1,69,13,0,1,1,0
peg_62,HDR,618,590,1,0,1,0,1,0,1,0,0,0,0,1,0,0
peg_63,Reference,189,167,167,142,25,0,0,5,21,0,4,20,0,0,1,0
peg_63,HDR,189,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_64,Reference,621,594,594,547,47,0,0,7,40,0,7,40,0,0,0,0
peg_64,HDR,621,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_65,Reference,302,285,283,264,19,0,0,6,13,0,6,13,0,0,0,0
peg_65,HDR,302,285,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_67,Reference,1361,893,893,795,98,0,9,35,60,6,32,54,0,3,3,0
peg_67,HDR,1361,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_70,Reference,503,385,371,326,45,0,0,9,36,0,9,36,0,0,0,0
peg_70,HDR,503,385,13,7,6,0,6,0,0,6,0,0,0,0,0,0
peg_71,Reference,1043,1015,1013,545,468,0,1,425,42,1,425,42,0,0,0,0
peg_71,HDR,1043,1015,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_72,Reference,330,321,320,301,19,0,0,0,19,0,0,19,0,0,0,0
peg_72,HDR,330,321,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_74,Reference,261,88,88,83,5,0,0,0,5,0,0,5,0,0,0,0
peg_74,HDR,261,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_75,Reference,641,638,637,531,106,0,1,6,100,0,6,99,0,1,0,0
peg_75,HDR,641,638,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_76,Reference,538,520,515,485,30,0,3,10,21,0,9,17,0,3,1,0
peg_76,HDR,538,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,Reference,9,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_77,HDR,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_82,Reference,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_82,HDR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
