,singlets/singlets2/singlets3 | Count,singlets/singlets2/singlets3/RFP+ | Freq. of Parent (%),
Specimen_001_H7_H07.fcs,11043,0.16,
Specimen_001_H8_H08.fcs,11032,0.100,
Specimen_001_H9_H09.fcs,11068,0.23,
Specimen_002_A1_A01.fcs,10825,7.38,
Specimen_002_A2_A02.fcs,10847,7.74,
Specimen_002_A3_A03.fcs,10927,7.68,
Specimen_002_A4_A04.fcs,879,28.0,
Specimen_002_A5_A05.fcs,656,31.4,
Specimen_002_A6_A06.fcs,734,31.7,
Specimen_002_A7_A07.fcs,11062,6.99,
Specimen_002_A8_A08.fcs,7462,7.81,
Specimen_002_A9_A09.fcs,4517,5.73,
Specimen_002_A10_A10.fcs,10292,99.7,
Specimen_002_A11_A11.fcs,10309,99.8,
Specimen_002_A12_A12.fcs,10382,99.5,
Specimen_002_B1_B01.fcs,10708,3.36,
Specimen_002_B2_B02.fcs,10694,3.72,
Specimen_002_B3_B03.fcs,10887,3.45,
Specimen_002_B4_B04.fcs,1292,25.2,
Specimen_002_B5_B05.fcs,887,26.8,
Specimen_002_B6_B06.fcs,590,30.8,
Specimen_002_B7_B07.fcs,10621,6.74,
Specimen_002_B8_B08.fcs,10629,6.81,
Specimen_002_B9_B09.fcs,2744,7.62,
Specimen_002_B10_B10.fcs,909,80.2,
Specimen_002_B11_B11.fcs,409,77.0,
Specimen_002_B12_B12.fcs,2052,84.5,
Specimen_002_C1_C01.fcs,10731,11.3,
Specimen_002_C2_C02.fcs,10457,11.3,
Specimen_002_C3_C03.fcs,10789,11.3,
Specimen_002_C4_C04.fcs,10167,99.5,
Specimen_002_C5_C05.fcs,10167,99.7,
Specimen_002_C6_C06.fcs,10171,99.5,
Specimen_002_C7_C07.fcs,10755,5.50,
Specimen_002_C8_C08.fcs,10765,5.02,
Specimen_002_C9_C09.fcs,10835,5.55,
Specimen_002_C10_C10.fcs,10173,98.4,
Specimen_002_C11_C11.fcs,10145,98.9,
Specimen_002_C12_C12.fcs,10129,98.7,
Specimen_002_D1_D01.fcs,10624,4.23,
Specimen_002_D2_D02.fcs,10637,4.32,
Specimen_002_D3_D03.fcs,10801,3.76,
Specimen_002_D4_D04.fcs,1515,58.6,
Specimen_002_D5_D05.fcs,1708,57.1,
Specimen_002_D6_D06.fcs,1023,57.6,
Specimen_002_D7_D07.fcs,10676,5.48,
Specimen_002_D8_D08.fcs,10658,5.41,
Specimen_002_D9_D09.fcs,10761,5.63,
Specimen_002_D10_D10.fcs,10280,99.4,
Specimen_002_D11_D11.fcs,4507,99.6,
Specimen_002_D12_D12.fcs,5559,99.3,
Specimen_002_E1_E01.fcs,10717,6.56,
Specimen_002_E2_E02.fcs,10823,6.63,
Specimen_002_E3_E03.fcs,10833,6.33,
Specimen_002_E4_E04.fcs,10144,99.7,
Specimen_002_E5_E05.fcs,10202,99.8,
Specimen_002_E6_E06.fcs,10248,99.9,
Specimen_002_E7_E07.fcs,10992,3.29,
Specimen_002_E8_E08.fcs,10804,2.99,
Specimen_002_E9_E09.fcs,3214,2.74,
Specimen_002_E10_E10.fcs,633,29.7,
Specimen_002_E11_E11.fcs,808,38.7,
Specimen_002_E12_E12.fcs,404,22.5,
Specimen_002_F1_F01.fcs,10958,3.25,
Specimen_002_F2_F02.fcs,10808,3.71,
Specimen_002_F3_F03.fcs,10898,3.94,
Specimen_002_F4_F04.fcs,10580,98.0,
Specimen_002_F5_F05.fcs,10354,98.0,
Specimen_002_F6_F06.fcs,10174,97.4,
Specimen_002_F7_F07.fcs,10875,9.44,
Specimen_002_F8_F08.fcs,10862,9.60,
Specimen_002_F9_F09.fcs,10959,9.63,
Specimen_002_F10_F10.fcs,10179,95.9,
Specimen_002_F11_F11.fcs,3917,95.9,
Specimen_002_F12_F12.fcs,4414,96.2,
Specimen_002_G1_G01.fcs,11133,10.5,
Specimen_002_G2_G02.fcs,5375,10.3,
Specimen_002_G3_G03.fcs,10947,10.4,
Specimen_002_G4_G04.fcs,10373,99.6,
Specimen_002_G5_G05.fcs,10199,99.8,
Specimen_002_G6_G06.fcs,10215,99.7,
Specimen_002_G7_G07.fcs,11162,11.7,
Specimen_002_G8_G08.fcs,10887,10.9,
Specimen_002_G9_G09.fcs,10985,10.5,
Specimen_002_G10_G10.fcs,10284,99.4,
Specimen_002_G11_G11.fcs,10241,99.8,
Specimen_002_G12_G12.fcs,10256,99.9,
Specimen_002_H1_H01.fcs,11087,8.90,
Specimen_002_H2_H02.fcs,10979,7.30,
Specimen_002_H3_H03.fcs,11119,9.17,
Specimen_002_H4_H04.fcs,1063,36.6,
Specimen_002_H5_H05.fcs,1763,54.7,
Specimen_002_H6_H06.fcs,1145,53.2,
Mean,8199,40.9,
SD,3984,41.1,
